crop,nutrient,visual_symptoms,similar_conditions,soil_association,confirmation_method,management,fertilizer_category,source,verification_status
Paddy / Rice,Nitrogen (N),Uniform pale light-green to general chlorosis of older leaves starting from leaf tip and progressing along midrib; stunted tillering.,"Bacterial leaf streak, early leaf blast chlorosis, or general root rot.","Coarse textured sandy soils, leached floodplains, low organic carbon (<0.5%).",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Top-dress with Urea or apply 1-2% foliar spray of Urea early morning for rapid greening.,Straight Nitrogenous Fertilizer,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Maize / Corn,Nitrogen (N),"Characteristic yellowing starting at leaf tip and progressing in an inverted V-shape along central midrib, leaving margins green longest.","Drought firing, root rot, or northern corn leaf blight at early stage.","Sandy soils, poorly drained Vertisols during high rainfall.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Foliar spray of 2% Urea or side-dress with Ammonium Sulphate / Urea as per soil test.,Straight Nitrogenous Fertilizer,ICAR-IIMR & UAS Bangalore Package of Practices,VERIFIED
Paddy / Rice,Phosphorus (P),"Leaves appear dark green with distinct bronze or purplish discoloration along margins; narrow, short, erect leaves; severely restricted tillering.","Tungro virus leaf discoloration, iron toxicity bronzing.",Acidic soils of Kerala and Coastal Karnataka (pH <5.5) or calcareous soils of Rayalaseema/TN (pH >8.0).,Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,"Basal application of phosphatic fertilizer; in standing crop, foliar spray of 1% Diammonium Phosphate (DAP) or 0.5% 13-0-45.",Phosphatic Fertilizer,KAU Package of Practices & ANGRAU Vyavasaya Panchangam,VERIFIED
Tomato,Phosphorus (P),Leaves turn dark dull green with intense purple or reddish-violet pigmentation on veins and undersides of leaves and stems; poor root development.,"Tomato spotted wilt virus (TSWV), cold temperature physiological purpling.",Red sandy loams of South India with low available Olsen-P (<10 kg/ha).,Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Foliar application of 19:19:19 @ 5g/L or 12:61:0 (MAP) @ 3g/L.,Water Soluble Complex Fertilizer,ICAR-IIHR Bengaluru & TNAU Agritech,VERIFIED
Cotton,Potassium (K),Yellowish-white mottling between veins followed by marginal chlorosis; leaf tips and margins curl downwards and scorch (marginal necrosis / firing); leaves turn reddish-bronze.,"Alternaria leaf spot, Verticillium wilt marginal necrosis, parawilt.",Red sandy soils (Alfisols) and weathered soils with available K <120 kg/ha.,Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Foliar spray of Potassium Nitrate (13:0:45) @ 10g/L or SOP (0:0:50) @ 10g/L at weekly intervals during boll development.,Potassic Fertilizer,ICAR-CICR Coimbatore & UAS Dharwad,VERIFIED
Coconut,Potassium (K),Translucent yellow to orange-brown spots on leaflets of older fronds; leaflets develop severe marginal necrosis and necrotic tip drying; fronds look scorched and die prematurely.,"Leaf rot, Gray leaf spot (Pestalotiopsis), Tanjore wilt early yellowing.","Coastal sands, laterites of Kerala and Karnataka with K2O <100 kg/ha.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Apply 2 kg MOP + 1 kg Epsom Salt (Magnesium Sulphate) per palm into circular basin 1.8m from trunk.,Straight Potassic Fertilizer,ICAR-CPCRI Kasaragod & Coconut Development Board,VERIFIED
Tomato,Calcium (Ca),Blossom End Rot (BER) on fruits: dark brown to black flattened sunken leathery patch at blossom end of fruit; apical leaves cup downward and margins wither.,"Anthracnose fruit rot, fruit borer entry holes, sunscald.","Acidic laterite soils, sandy soils with low cation exchange capacity, dry drought-stressed soils.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,"Foliar spray of Calcium Nitrate (18.8% Ca, 15.5% N) @ 5g/L or Chelated Calcium (EDTA-Ca) @ 1.5g/L during early fruit set.",Calcium Fertilizer,ICAR-IIHR Bengaluru & TNAU,VERIFIED
Chilli,Magnesium (Mg),Distinct interveinal chlorosis on older leaves: leaf veins remain green while interveinal tissue turns bright yellow to bronze; in severe cases leaf margins turn purple-red.,"Chilli mosaic virus, mite-induced stippling, early powdery mildew chlorosis.","Acidic soils (pH <5.5), high-K fertilized soils.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Foliar spray of Magnesium Sulphate @ 5g/L or 10g/L at 15-day intervals.,Secondary Nutrient Fertilizer,ANGRAU Lam Guntur & UAS Dharwad,VERIFIED
Paddy / Rice,Zinc (Zn),Khaira disease / Zinc deficiency: brownish-red or rust-colored blotches/streaks along midrib of leaves; lower leaves droop; plants severely stunted in patches.,"Brown spot (Bipolaris oryzae), iron toxicity bronzing, tungro virus.","Calcareous black soils (Vertisols) of Tungabhadra, Krishna-Godavari deltas and alkaline soils of Tamil Nadu.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Emergency foliar spray of Zinc Sulphate @ 5g/L + Lime @ 2.5g/L (or unslaked lime neutralizer) twice at 10-day intervals.,Micronutrient Fertilizer,ICAR-IIRR Hyderabad & TNAU Agritech,VERIFIED
Maize / Corn,Zinc (Zn),'White Bud' of maize: broad bleached white to pale yellow bands on both sides of leaf midrib starting from base; midrib and leaf margins remain green; emerging whorl leaves almost white.,"Maize dwarf mosaic virus, downy mildew chlorotic stripes.","Calcareous soils, heavily phosphated soils.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Foliar spray of Chelated Zinc (EDTA-Zn 12%) @ 1g/L or Zinc Sulphate @ 5g/L neutralized with 2.5g lime.,Micronutrient Fertilizer,ICAR-IIMR & UAS Bangalore,VERIFIED
Sugarcane,Iron (Fe),Interveinal chlorosis on youngest leaves: veins remain sharply green while intervening tissue becomes bleached ivory-white or pale yellow; whole cane tops appear bleached white in severe patches.,"Sugarcane grassy shoot disease (phytoplasma), sugarcane mosaic virus.","Calcareous black Vertisols of North Karnataka, Western Tamil Nadu, Rayalaseema.",Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Foliar spray of Ferrous Sulphate (FeSO4) @ 10g/L + Citric Acid @ 1g/L (to prevent oxidation) or Fe-EDTA @ 1.5g/L twice at 10-day intervals.,Micronutrient Fertilizer,ICAR-SBI Coimbatore & TNAU Sugarcane Portal,VERIFIED
Arecanut / Betel Nut,Boron (B),"Crown choking / 'Katte roga' boron deficiency: inner fronds crinkled, brittle, hook-tipped and failing to unfurl; inflorescence dries out; nut cracking and gum exudation on nuts.","Yellow leaf disease, mite-induced nut cracking.",Laterite soils of Coastal Karnataka and Kerala.,Laboratory leaf tissue analysis (spectrophotometry/AAS) and soil DTPA extractable test,Soil application of Solubor @ 20g/palm or foliar spray with Boron 20% (Disodium Octaborate Tetrahydrate) @ 2g/L.,Micronutrient Fertilizer,ICAR-CPCRI Regional Station Vittal & UAS Dharwad,VERIFIED
