crop,crop_id,nutrient,deficiency_name,visual_symptoms,affected_plant_part,typical_pattern,possible_causes,soil_relationship,source,source_url,verification_status,verification_date
Tomato,tomato,Potassium (K),Potassium Deficiency,"Marginal chlorosis turning into scorched, necrotic brown leaf margins ('firing'); older leaves curl downwards; blotchy or uneven fruit ripening with yellow shoulder disorder.","Older and middle leaves, maturing fruits","Marginal scorching and interveinal bronzing progressing from tip and margins inward, while main veins remain green longest.","Heavy fruit load draining available K, highly leached acidic sandy soils, excessive calcium or magnesium in soil competing for root uptake.",Common in coarse-textured sandy soils and red sandy loams with low exchangeable K (<100 mg/kg).,ICAR-IIHR Bengaluru & TNAU Agritech,https://iihr.res.in,VERIFIED,2026-09-12
Tomato,tomato,Calcium (Ca),Calcium Deficiency (Blossom End Rot),Dark brown to black flattened sunken leathery patch at blossom end of fruit (Blossom End Rot); growing tips wither; young expanding leaves cup downward with necrotic margins.,"Growing tips, young expanding leaves, fruit blossom end (Immobile)",Depressed circular necrotic leathery lesion at bottom tip of tomato fruit.,"Fluctuating soil moisture, excessive ammonium or potassium fertilization interfering with calcium uptake, acidic soils.","Acidic laterite soils (pH <5.5), sandy soils with low cation exchange capacity, dry drought-stressed soils.",ICAR-IIHR Bengaluru & TNAU Agritech,https://iihr.res.in,VERIFIED,2026-09-12
Tomato,tomato,Phosphorus (P),Phosphorus Deficiency,Leaves turn dark dull green with intense purple or reddish-violet pigmentation on veins and undersides of leaves and stems; severely restricted root system and delayed fruit setting.,"Underside of older leaves first, stems",Pronounced purple veinal anthocyanin accumulation on leaf undersides and petioles.,"Cold soil temperatures restricting root uptake, P fixation in acidic laterites or alkaline calcareous soils.",Red sandy loams of South India with low available Olsen-P (<10 kg/ha).,ICAR-IIHR Bengaluru & TNAU,https://iihr.res.in,VERIFIED,2026-09-12
Paddy / Rice,paddy,Nitrogen (N),Nitrogen Deficiency,"Uniform pale light-green to general chlorosis of older leaves starting from leaf tip and progressing along midrib; stunted tillering, thin erect culms, and early senescence.",Older / Lower leaves first (Highly mobile),V-shaped chlorosis extending from leaf tip backwards along central midrib.,"Low soil organic matter, leaching in light sandy soils, prolonged submerged denitrification in waterlogged conditions.","Coarse textured sandy soils, leached floodplains, low organic carbon (<0.5%).",ICAR-IIRR Hyderabad & TNAU Agritech Portal,https://icar-iirr.org,VERIFIED,2026-09-12
Paddy / Rice,paddy,Zinc (Zn),Zinc Deficiency (Khaira Disease),Brownish-red or rust-colored blotches/streaks along midrib of leaves 2-4 weeks after transplanting; lower leaves droop; plants severely stunted in uneven patches.,Middle and younger leaves,Rust-brown coalescing pigment patches along midrib and blade.,"Alkaline/calcareous soils (pH >7.8), continuous submergence causing insoluble zinc sulphide precipitation, excessive phosphatic fertilization.",Calcareous black soils (Vertisols) of Tungabhadra and Krishna-Godavari deltas.,ICAR-IIRR Hyderabad & TNAU Agritech,https://icar-iirr.org,VERIFIED,2026-09-12
Maize / Corn,maize,Nitrogen (N),Nitrogen Deficiency,"Characteristic yellowing starting at leaf tip and progressing in an inverted V-shape along central midrib, leaving margins green longest; spindly stalks, small unfilled ears.",Older / Lowest leaves first,Sharp inverted V-shaped midrib chlorosis turning necrotic brown.,"Heavy rainfall leaching, waterlogging inhibiting root respiration, low organic carbon.","Sandy soils, poorly drained Vertisols during high rainfall.",ICAR-IIMR & UAS Bangalore Package of Practices,https://iimr.icar.gov.in,VERIFIED,2026-09-12
Maize / Corn,maize,Zinc (Zn),Zinc Deficiency ('White Bud'),Broad bleached white to pale yellow bands on both sides of leaf midrib starting from base; midrib and leaf margins remain green; emerging whorl leaves almost white.,Younger leaves in whorl,Broad white/cream bands on both sides of central midrib.,"High soil pH (>7.5), high available phosphorus, cold wet soils during germination.","Calcareous soils, heavily phosphated soils.",ICAR-IIMR & UAS Bangalore,https://iimr.icar.gov.in,VERIFIED,2026-09-12
Cotton,cotton,Potassium (K),Potassium Deficiency ('Rust' / Marginal Firing),Yellowish-white interveinal mottling followed by marginal chlorosis; leaf tips and margins curl downwards and scorch; leaves turn reddish-bronze with premature defoliation and incomplete boll opening.,"Older leaves initially, migrating to top leaves during heavy boll load","Marginal scorching and interveinal bronzing, leaving main veins green.","Heavy K depletion by high-yielding Bt cotton hybrids, sandy soils with low CEC, ill-drained saline soils.",Red sandy soils (Alfisols) and weathered soils with available K <120 kg/ha.,ICAR-CICR Coimbatore & UAS Dharwad,https://cicr.icar.gov.in,VERIFIED,2026-09-12
Chilli,chilli,Magnesium (Mg),Magnesium Deficiency,Distinct interveinal chlorosis on older leaves: leaf veins remain green while interveinal tissue turns bright yellow to bronze; in severe cases leaf margins turn purple-red with premature leaf drop.,Older and middle leaves (Mobile),Striking green veins on yellow leaf background on lower leaves.,Heavy potassium or calcium application outcompeting magnesium for root uptake; highly leached acidic sandy soils.,"Acidic soils (pH <5.5), high-K fertilized soils.",ANGRAU Lam Guntur & UAS Dharwad,https://angrau.ac.in,VERIFIED,2026-09-12
Sugarcane,sugarcane,Iron (Fe),Iron Chlorosis,Interveinal chlorosis on youngest leaves: veins remain sharply green while intervening tissue becomes bleached ivory-white or pale yellow; whole cane tops appear bleached white in severe patches.,Youngest leaves at shoot apex (Immobile),Sharp parallel green veins on bleached white leaf blade.,Calcareous alkaline soils containing high free calcium carbonate (CaCO3) causing iron precipitation as insoluble ferric hydroxide; high bicarbonate water.,"Calcareous black Vertisols of North Karnataka, Western Tamil Nadu, Rayalaseema.",ICAR-SBI Coimbatore & TNAU Sugarcane Portal,https://sugarcane.icar.gov.in,VERIFIED,2026-09-12
