Crop,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh,Telangana,Disease_Data,Pest_Data,Primary_Regional_Diseases_Pests,Dataset_Availability_Assessment
Coffee,"✓ (Chikmagalur, Kodagu, Hassan)","✓ (Wayanad, Idukki)","✓ (Nilgiris, Yercaud)",~ (Araku Valley),✗,✓,✓,"Rust, Cercospora, Spider Mite, Leaf Miner","TIER 1 (Strong: RoCoLe + BRACOL, ~3.3K images)"
Tea,~ (Coorg border),"✓ (Munnar, Wayanad)","✓ (Nilgiris, Valparai)",✗,✗,✓,✓,"Grey blight, Brown blight, Helopeltis, Red spider mite","TIER 1 (Strong: Mendeley Tea + Indian Tea, ~6.3K images)"
Rubber,~ (Dakshina Kannada),"✓ (Kottayam, Pathanamthitta, Ernakulam)",~ (Kanyakumari),✗,✗,✓,~,"Abnormal leaf fall, Powdery mildew, Anthracnose","TIER 2 (Promising: BDRubberLeaf, 4K images; lacks Kerala-specific clone tags)"
Sugarcane,"✓ (Mandya, Belagavi)",~ (Palakkad),"✓ (Cuddalore, Villupuram)","✓ (Visakhapatnam, Chittoor)","✓ (Nizamabad, Medak)",✓,~,"Red rot, Rust, Yellow leaf, Grassy shoot, Smut",TIER 1 (Strong: Mendeley 7.1K + Kaggle 2.5K images)
Cotton,"✓ (Dharwad, Haveri)",✗,"~ (Perambalur, Salem)","✓ (Kurnool, Guntur)","✓ (Warangal, Nalgonda, Adilabad)",✓,✓,"Bacterial blight, Leaf curl, Target spot, Aphids, Armyworm","TIER 1 (Strong: SAR-CLD 2024 + Kaggle Cotton, ~4.6K images)"
Tobacco,~ (Mysore FCV belt),✗,✗,"✓ (Guntur, Prakasam, Godavari)",✓ (Khammam),✓,?,"Brown spot, TMV, Wildfire",TIER 2 (Moderate: MCAD-DETR + Zenodo; lacks dedicated AP field sets)
Black Pepper,"✓ (Kodagu, Shimoga, Uttara Kannada)","✓ (Idukki, Wayanad, Calicut)","~ (Kolli Hills, Kodaikanal)",✗,✗,✓,~,"Quick wilt (Phytophthora), Yellow mottle virus, Pollu",TIER 2 (Moderate: ~1.7K images across Kaggle repos; needs more berry images)
Cardamom,"✓ (Kodagu, Hassan)",✓ (Idukki - 75% of Indian production),"✓ (Theni, Anamalai)",✗,✗,✓,✓,"Azhukal (capsule rot), Katte mosaic, Colletotrichum blight, Thrips","TIER 1 (Strong: KCID + Cardamom-2021, ~3.8K images from Idukki)"
Red Chilli / Chilli,"✓ (Byadgi, Haveri)",~ (Home gardens),"✓ (Ramanathapuram, Tuticorin)",✓ (Guntur - largest market),"✓ (Khammam, Warangal)",✓,✓,"Anthracnose, Leaf curl, Bacterial spot, Cercospora, Powdery mildew",TIER 1 (Extremely strong: Mendeley 8.8K + Bangladesh 1.5K images)
Turmeric,✓ (Chamarajanagar),~ (Wayanad),✓ (Erode - Turmeric City),"✓ (Duggirala, Guntur)",✓ (Nizamabad - Major hub),✓,✓,"Leaf blotch (Taphrina), Leaf spot (Colletotrichum), Rhizome rot, Aphids",TIER 1 (Strong: Mendeley 4.3K + 5.6K images from Erode & Nizamabad)
Coconut,"✓ (Tumkur, Hassan)","✓ (State tree, across all 14 districts)","✓ (Pollachi, Thanjavur)",✓ (East & West Godavari),~ (Khammam canals),✓,✓,"Bud rot, Grey leaf blight, Stem bleeding, Root wilt, Rhinoceros beetle",TIER 1 (Extremely strong: Mendeley 5.8K + Kaggle 2.6K images)
Arecanut,"✓ (Dakshina Kannada, Shimoga, Uttara Kannada)","✓ (Kasaragod, Malappuram)","~ (Salem, Namakkal)",✗,✗,✓,✓,"Koleroga / Fruit rot, Yellow leaf disease, Stem cracking, Bud borer","TIER 1 (Strong: Kaggle Arecanut 9-class, ~3.8K real Karnataka images)"
Cashew,"✓ (Dakshina Kannada, Udupi)","✓ (Kannur, Kasaragod)","✓ (Cuddalore, Ariyalur)","✓ (Srikakulam, Palasa)",~ (Khammam),✓,✓,"Anthracnose, Gummosis, Leaf miner, Red rust, Tea mosquito bug","TIER 1 (Strong: CCMT Cashew, 3.1K images; biological pathogen overlap)"
Paddy / Rice,"✓ (Mandya, Raichur)","✓ (Kuttanad, Palakkad)","✓ (Cauvery Delta, Tirunelveli)","✓ (Godavari Delta, Krishna)","✓ (Nalgonda, Karimnagar)",✓,✓,"Bacterial leaf blight, Blast, Brown spot, Sheath blight, Tungro, Hispa","TIER 1 (Benchmark: Paddy Doctor Tirunelveli TN, >10.4K images)"
Tomato,✓ (Kolar - largest market),~ (High range),"✓ (Dharmapuri, Krishnagiri)",✓ (Madanapalle - mega hub),✓ (Rangareddy),✓,✓,"Early blight, Late blight, Leaf curl, Bacterial spot, Leaf mold, Mites","TIER 1 (Benchmark: PlantVillage 18K + PlantDoc India field, ~20K images)"
