crop,state,disease,scientific_name,cause,symptoms,severity,season,environment,management,prevention,source,verification_status
Tomato,Karnataka,Early Blight,Alternaria solani,Fungal (Alternaria solani),Dark brown circular spots with characteristic concentric rings creating a target-board pattern; leaves yellow and drop prematurely.,Moderate to High,Kharif and Post-Monsoon / Rabi,Warm temperatures (24-30°C) with alternating wet and dry weather; prolonged dew periods.,Foliar spray of Mancozeb 75% WP @ 2g/L or Chlorothalonil 75% WP @ 2g/L early morning upon first lesion observation.,Use certified pathogen-free seeds; treat seed with Trichoderma viride @ 4g/kg; practice 3-year crop rotation with non-solanaceous crops.,TNAU Agritech Portal & UAS Bangalore Package of Practices,VERIFIED
Tomato,Tamil Nadu,Early Blight,Alternaria solani,Fungal (Alternaria solani),Dark brown circular spots with characteristic concentric rings creating a target-board pattern; leaves yellow and drop prematurely.,Moderate to High,Kharif and Post-Monsoon / Rabi,Warm temperatures (24-30°C) with alternating wet and dry weather; prolonged dew periods.,Foliar spray of Mancozeb 75% WP @ 2g/L or Chlorothalonil 75% WP @ 2g/L early morning upon first lesion observation.,Use certified pathogen-free seeds; treat seed with Trichoderma viride @ 4g/kg; practice 3-year crop rotation with non-solanaceous crops.,TNAU Agritech Portal & UAS Bangalore Package of Practices,VERIFIED
Tomato,Andhra Pradesh,Early Blight,Alternaria solani,Fungal (Alternaria solani),Dark brown circular spots with characteristic concentric rings creating a target-board pattern; leaves yellow and drop prematurely.,Moderate to High,Kharif and Post-Monsoon / Rabi,Warm temperatures (24-30°C) with alternating wet and dry weather; prolonged dew periods.,Foliar spray of Mancozeb 75% WP @ 2g/L or Chlorothalonil 75% WP @ 2g/L early morning upon first lesion observation.,Use certified pathogen-free seeds; treat seed with Trichoderma viride @ 4g/kg; practice 3-year crop rotation with non-solanaceous crops.,TNAU Agritech Portal & UAS Bangalore Package of Practices,VERIFIED
Tomato,Telangana,Early Blight,Alternaria solani,Fungal (Alternaria solani),Dark brown circular spots with characteristic concentric rings creating a target-board pattern; leaves yellow and drop prematurely.,Moderate to High,Kharif and Post-Monsoon / Rabi,Warm temperatures (24-30°C) with alternating wet and dry weather; prolonged dew periods.,Foliar spray of Mancozeb 75% WP @ 2g/L or Chlorothalonil 75% WP @ 2g/L early morning upon first lesion observation.,Use certified pathogen-free seeds; treat seed with Trichoderma viride @ 4g/kg; practice 3-year crop rotation with non-solanaceous crops.,TNAU Agritech Portal & UAS Bangalore Package of Practices,VERIFIED
Tomato,Tamil Nadu,Late Blight,Phytophthora infestans,Oomycete / Fungal (Phytophthora infestans),Water-soaked irregular pale green lesions on leaves rapidly turning dark brown/black; white fungal downy growth on leaf undersides under high humidity; rapid vine collapse.,Critical,Late Kharif / Winter (Rabi) in hilly and plateau tracts,Cool temperatures (12-22°C) combined with high relative humidity (>90%) and continuous cloudy/rainy days.,Prophylactic spray of Mancozeb 75% WP @ 2.5g/L; curative spray of Metalaxyl 8% + Mancozeb 64% WP @ 2g/L or Cymoxanil 8% + Mancozeb 64% WP @ 2g/L.,Ensure good drainage; avoid overhead sprinkler irrigation; destroy infected volunteer tomato/potato plants.,ICAR-IIHR Bengaluru & TNAU Crop Protection,VERIFIED
Tomato,Karnataka,Late Blight,Phytophthora infestans,Oomycete / Fungal (Phytophthora infestans),Water-soaked irregular pale green lesions on leaves rapidly turning dark brown/black; white fungal downy growth on leaf undersides under high humidity; rapid vine collapse.,Critical,Late Kharif / Winter (Rabi) in hilly and plateau tracts,Cool temperatures (12-22°C) combined with high relative humidity (>90%) and continuous cloudy/rainy days.,Prophylactic spray of Mancozeb 75% WP @ 2.5g/L; curative spray of Metalaxyl 8% + Mancozeb 64% WP @ 2g/L or Cymoxanil 8% + Mancozeb 64% WP @ 2g/L.,Ensure good drainage; avoid overhead sprinkler irrigation; destroy infected volunteer tomato/potato plants.,ICAR-IIHR Bengaluru & TNAU Crop Protection,VERIFIED
Tomato,Andhra Pradesh,Late Blight,Phytophthora infestans,Oomycete / Fungal (Phytophthora infestans),Water-soaked irregular pale green lesions on leaves rapidly turning dark brown/black; white fungal downy growth on leaf undersides under high humidity; rapid vine collapse.,Critical,Late Kharif / Winter (Rabi) in hilly and plateau tracts,Cool temperatures (12-22°C) combined with high relative humidity (>90%) and continuous cloudy/rainy days.,Prophylactic spray of Mancozeb 75% WP @ 2.5g/L; curative spray of Metalaxyl 8% + Mancozeb 64% WP @ 2g/L or Cymoxanil 8% + Mancozeb 64% WP @ 2g/L.,Ensure good drainage; avoid overhead sprinkler irrigation; destroy infected volunteer tomato/potato plants.,ICAR-IIHR Bengaluru & TNAU Crop Protection,VERIFIED
Tomato,Kerala,Bacterial Wilt,Ralstonia solanacearum,Bacterial (Ralstonia solanacearum),Rapid complete wilting of green plant without initial yellowing; vascular browning visible upon stem cross-section; bacterial streaming in clear water.,Critical,Kharif and Summer,"High soil moisture, warm soil temperatures (30-35°C), acidic to neutral sandy loam soils.",Soil drenching around healthy border plants with Copper Oxychloride 50% WP @ 2.5g/L + Streptocycline @ 0.1g/L; uproot and burn infected plants.,"Grow wilt-resistant varieties/hybrids (e.g., Arka Abha, Arka Alok, Mukti, Sakthi); avoid planting in waterlogged soils; crop rotation with maize/paddy.",KAU Package of Practices & ICAR-IIHR,VERIFIED
Tomato,Karnataka,Bacterial Wilt,Ralstonia solanacearum,Bacterial (Ralstonia solanacearum),Rapid complete wilting of green plant without initial yellowing; vascular browning visible upon stem cross-section; bacterial streaming in clear water.,Critical,Kharif and Summer,"High soil moisture, warm soil temperatures (30-35°C), acidic to neutral sandy loam soils.",Soil drenching around healthy border plants with Copper Oxychloride 50% WP @ 2.5g/L + Streptocycline @ 0.1g/L; uproot and burn infected plants.,"Grow wilt-resistant varieties/hybrids (e.g., Arka Abha, Arka Alok, Mukti, Sakthi); avoid planting in waterlogged soils; crop rotation with maize/paddy.",KAU Package of Practices & ICAR-IIHR,VERIFIED
Tomato,Tamil Nadu,Bacterial Wilt,Ralstonia solanacearum,Bacterial (Ralstonia solanacearum),Rapid complete wilting of green plant without initial yellowing; vascular browning visible upon stem cross-section; bacterial streaming in clear water.,Critical,Kharif and Summer,"High soil moisture, warm soil temperatures (30-35°C), acidic to neutral sandy loam soils.",Soil drenching around healthy border plants with Copper Oxychloride 50% WP @ 2.5g/L + Streptocycline @ 0.1g/L; uproot and burn infected plants.,"Grow wilt-resistant varieties/hybrids (e.g., Arka Abha, Arka Alok, Mukti, Sakthi); avoid planting in waterlogged soils; crop rotation with maize/paddy.",KAU Package of Practices & ICAR-IIHR,VERIFIED
Tomato,Andhra Pradesh,Bacterial Wilt,Ralstonia solanacearum,Bacterial (Ralstonia solanacearum),Rapid complete wilting of green plant without initial yellowing; vascular browning visible upon stem cross-section; bacterial streaming in clear water.,Critical,Kharif and Summer,"High soil moisture, warm soil temperatures (30-35°C), acidic to neutral sandy loam soils.",Soil drenching around healthy border plants with Copper Oxychloride 50% WP @ 2.5g/L + Streptocycline @ 0.1g/L; uproot and burn infected plants.,"Grow wilt-resistant varieties/hybrids (e.g., Arka Abha, Arka Alok, Mukti, Sakthi); avoid planting in waterlogged soils; crop rotation with maize/paddy.",KAU Package of Practices & ICAR-IIHR,VERIFIED
Tomato,Karnataka,Tomato Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),Viral (Begomovirus) (Tomato leaf curl virus (vectored by Bemisia tabaci whitefly)),Upward curling and puckering of leaf margins; reduction in leaflet size; interveinal chlorosis; severe stunting and bushy appearance with flower dropping.,Severe,Summer and early Kharif,Warm and dry weather favoring high whitefly reproduction and dispersal.,Control vector with systemic foliar sprays: Diafenthiuron 50% WP @ 1g/L or Acetamiprid 20% SP @ 0.2g/L; rogue out infected plants within first 30 days.,"Plant virus-tolerant hybrids (e.g., Arka Rakshak, Arka Samrat); install yellow sticky traps (15/acre); cover nursery with 40-mesh insect net.",ICAR-IIHR & ANGRAU Vyavasaya Panchangam,VERIFIED
