crop,disease_id,canonical_name,scientific_name,causal_organism_type,primary_symptoms,severity,source_reference,verification_status
Tomato,early_blight,Early Blight,Alternaria solani,,Dark brown circular spots with characteristic concentric rings creating a target-board pattern; leaves yellow and drop prematurely.,Moderate to High,TNAU Agritech Portal & UAS Bangalore Package of Practices,VERIFIED
Tomato,late_blight,Late Blight,Phytophthora infestans,,Water-soaked irregular pale green lesions on leaves rapidly turning dark brown/black; white fungal downy growth on leaf undersides under high humidity; rapid vine collapse.,Critical,ICAR-IIHR Bengaluru & TNAU Crop Protection,VERIFIED
Tomato,bacterial_wilt,Bacterial Wilt,Ralstonia solanacearum,,Rapid complete wilting of green plant without initial yellowing; vascular browning visible upon stem cross-section; bacterial streaming in clear water.,Critical,KAU Package of Practices & ICAR-IIHR,VERIFIED
Tomato,tomato_leaf_curl_virus,Tomato Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),,Upward curling and puckering of leaf margins; reduction in leaflet size; interveinal chlorosis; severe stunting and bushy appearance with flower dropping.,Severe,ICAR-IIHR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,blast_(leaf_and_neck_blast),Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),,Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Critical,ICAR-IIRR Hyderabad & TNAU Agritech Portal,VERIFIED
Paddy / Rice,bacterial_leaf_blight_(blb),Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,,Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Severe,ICAR-IIRR & ANGRAU Vyavasaya Panchangam,VERIFIED
Paddy / Rice,sheath_blight,Sheath Blight,Rhizoctonia solani,,Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Severe,TNAU Agritech Portal & KAU Package of Practices,VERIFIED
Chilli,anthracnose_/_fruit_rot_&_dieback,Anthracnose / Fruit Rot & Dieback,Colletotrichum capsici (Colletotrichum truncatum),,"Sunken, circular to oval lesions with black concentric rings of fungal acervuli on ripe fruits; tips of branches wither, dry and turn ash grey downwards (dieback).",Severe to Critical,"ANGRAU Regional Agricultural Research Station (Lam, Guntur)",VERIFIED
Chilli,chilli_leaf_curl_complex,Chilli Leaf Curl Complex,Chilli leaf curl virus (ChiLCV) & Thrips/Mite complex,,"Upward curling and canoeing of leaves (thrips/virus) or downward cupping with inverted boat shape (yellow mite); leaves turn leathery, brittle and crinkled.",Severe,UAS Dharwad & TNAU Crop Protection,VERIFIED
Cotton,bacterial_blight_/_angular_leaf_spot_/_blackarm,Bacterial Blight / Angular Leaf Spot / Blackarm,Xanthomonas citri pv. malvacearum,,Angular water-soaked spots bounded by leaf veinlets; lesions turn brown to black; blackarm lesion girdles branches; circular water-soaked sunken spots on bolls.,Severe,ICAR-CICR Regional Station Coimbatore & UAS Dharwad,VERIFIED
