crop,state,pest,scientific_name,damage,symptoms,season,risk_conditions,source,verification_status
Tomato,Karnataka,Tomato Fruit Borer,Helicoverpa armigera,Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.,"Leaves, flower buds, green and ripe fruits",Post-monsoon and summer crops,"Warm days (26-32°C), moderate relative humidity, presence of alternate hosts (pigeonpea, cotton, chickpea).",ICAR-IIHR & TNAU Agritech Portal,VERIFIED
Tomato,Tamil Nadu,Tomato Fruit Borer,Helicoverpa armigera,Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.,"Leaves, flower buds, green and ripe fruits",Post-monsoon and summer crops,"Warm days (26-32°C), moderate relative humidity, presence of alternate hosts (pigeonpea, cotton, chickpea).",ICAR-IIHR & TNAU Agritech Portal,VERIFIED
Tomato,Andhra Pradesh,Tomato Fruit Borer,Helicoverpa armigera,Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.,"Leaves, flower buds, green and ripe fruits",Post-monsoon and summer crops,"Warm days (26-32°C), moderate relative humidity, presence of alternate hosts (pigeonpea, cotton, chickpea).",ICAR-IIHR & TNAU Agritech Portal,VERIFIED
Tomato,Telangana,Tomato Fruit Borer,Helicoverpa armigera,Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.,"Leaves, flower buds, green and ripe fruits",Post-monsoon and summer crops,"Warm days (26-32°C), moderate relative humidity, presence of alternate hosts (pigeonpea, cotton, chickpea).",ICAR-IIHR & TNAU Agritech Portal,VERIFIED
Paddy / Rice,Tamil Nadu,Brown Plant Hopper (BPH),Nilaparvata lugens,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.","Base of tillers, leaf sheath above water line",Tillering to grain filling stage in Kharif and Rabi,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",ICAR-IIRR Hyderabad & TNAU,VERIFIED
Paddy / Rice,Andhra Pradesh,Brown Plant Hopper (BPH),Nilaparvata lugens,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.","Base of tillers, leaf sheath above water line",Tillering to grain filling stage in Kharif and Rabi,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",ICAR-IIRR Hyderabad & TNAU,VERIFIED
Paddy / Rice,Telangana,Brown Plant Hopper (BPH),Nilaparvata lugens,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.","Base of tillers, leaf sheath above water line",Tillering to grain filling stage in Kharif and Rabi,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",ICAR-IIRR Hyderabad & TNAU,VERIFIED
Paddy / Rice,Karnataka,Brown Plant Hopper (BPH),Nilaparvata lugens,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.","Base of tillers, leaf sheath above water line",Tillering to grain filling stage in Kharif and Rabi,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",ICAR-IIRR Hyderabad & TNAU,VERIFIED
Paddy / Rice,Kerala,Brown Plant Hopper (BPH),Nilaparvata lugens,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.","Base of tillers, leaf sheath above water line",Tillering to grain filling stage in Kharif and Rabi,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",ICAR-IIRR Hyderabad & TNAU,VERIFIED
Paddy / Rice,Puducherry,Brown Plant Hopper (BPH),Nilaparvata lugens,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.","Base of tillers, leaf sheath above water line",Tillering to grain filling stage in Kharif and Rabi,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",ICAR-IIRR Hyderabad & TNAU,VERIFIED
