crop,nutrient,affected_leaf_position,visual_symptoms,growth_effects,visual_patterns,similar_looking_diseases,soil_causes,soil_conditions,prevention,correction_measures,fertilizer_category,source,source_url,verification_status
Paddy / Rice,Nitrogen (N),Older / Lower leaves first (Highly mobile),Uniform pale light-green to general chlorosis of older leaves starting from leaf tip and progressing along midrib; stunted tillering.,"Reduced tillering, thin erect spindly culms, short panicles, premature flowering and senescence.",V-shaped chlorosis extending from tip backwards along midrib.,"Bacterial leaf streak, early leaf blast chlorosis, or general root rot.","Low soil organic matter, leaching in light sandy soils, prolonged submerged denitrification in waterlogged conditions.","Coarse textured sandy soils, leached floodplains, low organic carbon (<0.5%).",Incorporate green manure (Sesbania / Dhaincha @ 6.25 t/ha) prior to puddling; split nitrogen applications.,Top-dress with Urea or apply 1-2% foliar spray of Urea early morning for rapid greening.,Straight Nitrogenous Fertilizer,ICAR-IIRR Hyderabad & TNAU Agritech Portal,https://icar-iirr.org,VERIFIED
Maize / Corn,Nitrogen (N),Older / Lowest leaves first,"Characteristic yellowing starting at leaf tip and progressing in an inverted V-shape along central midrib, leaving margins green longest.","Spindly stalks, small ears with pinched unfilled tips, severely reduced biomass.",Sharp inverted V-shaped midrib chlorosis turning necrotic brown.,"Drought firing, root rot, or northern corn leaf blight at early stage.","Heavy rainfall leaching, waterlogging inhibiting root respiration, low organic carbon.","Sandy soils, poorly drained Vertisols during high rainfall.",Band placement of basal nitrogen and split top-dressing at knee-high and tasseling stages.,Foliar spray of 2% Urea or side-dress with Ammonium Sulphate / Urea as per soil test.,Straight Nitrogenous Fertilizer,ICAR-IIMR & UAS Bangalore Package of Practices,https://iimr.icar.gov.in,VERIFIED
Paddy / Rice,Phosphorus (P),Older leaves first (Mobile),"Leaves appear dark green with distinct bronze or purplish discoloration along margins; narrow, short, erect leaves; severely restricted tillering.","Stunted root system, delayed flowering and uneven maturity, high percentage of empty spikelets.",Purplish anthocyanin pigmentation on leaf blades and sheaths.,"Tungro virus leaf discoloration, iron toxicity bronzing.",High P-fixing acidic laterite soils (Al/Fe phosphate fixation) or highly calcareous alkaline soils (Ca-phosphate precipitation).,Acidic soils of Kerala and Coastal Karnataka (pH <5.5) or calcareous soils of Rayalaseema/TN (pH >8.0).,Apply Rock Phosphate in acidic soils or Single Super Phosphate (SSP) in neutral/alkaline soils basally; use phosphate solubilizing bacteria (PSB).,"Basal application of phosphatic fertilizer; in standing crop, foliar spray of 1% Diammonium Phosphate (DAP) or 0.5% 13-0-45.",Phosphatic Fertilizer,KAU Package of Practices & ANGRAU Vyavasaya Panchangam,https://celkau.in,VERIFIED
Tomato,Phosphorus (P),Underside of older leaves first,Leaves turn dark dull green with intense purple or reddish-violet pigmentation on veins and undersides of leaves and stems; poor root development.,"Stunted slow growth, slender fibrous stems, poor fruit set and small unmarketable fruits.",Pronounced purple veinal anthocyanin accumulation.,"Tomato spotted wilt virus (TSWV), cold temperature physiological purpling.","Cold soil temperatures restricting root uptake, P fixation in acidic laterites or alkaline calcareous soils.",Red sandy loams of South India with low available Olsen-P (<10 kg/ha).,Incorporate Single Super Phosphate (SSP) or DAP into root zone prior to transplanting; inoculate with mycorrhiza (VAM).,Foliar application of 19:19:19 @ 5g/L or 12:61:0 (MAP) @ 3g/L.,Water Soluble Complex Fertilizer,ICAR-IIHR Bengaluru & TNAU Agritech,https://iihr.res.in,VERIFIED
Cotton,Potassium (K),"Older leaves initially, migrating to top leaves during heavy boll load",Yellowish-white mottling between veins followed by marginal chlorosis; leaf tips and margins curl downwards and scorch (marginal necrosis / firing); leaves turn reddish-bronze.,"Premature defoliation, incomplete boll opening, reduced boll size and poor fiber micronaire/strength.","Marginal scorching and interveinal bronzing, leaving main veins green.","Alternaria leaf spot, Verticillium wilt marginal necrosis, parawilt.","Heavy K depletion by high-yielding Bt cotton hybrids, sandy soils with low CEC, ill-drained saline soils.",Red sandy soils (Alfisols) and weathered soils with available K <120 kg/ha.,Apply split dose of Muriate of Potash (MOP) at sowing and 45-60 days after sowing.,Foliar spray of Potassium Nitrate (13:0:45) @ 10g/L or SOP (0:0:50) @ 10g/L at weekly intervals during boll development.,Potassic Fertilizer,ICAR-CICR Coimbatore & UAS Dharwad,https://cicr.icar.gov.in,VERIFIED
Coconut,Potassium (K),Older fronds in lower whorl,Translucent yellow to orange-brown spots on leaflets of older fronds; leaflets develop severe marginal necrosis and necrotic tip drying; fronds look scorched and die prematurely.,"Slender tapering trunk, reduced bunch count, premature nut fall, thin shell and reduced copra content.",Orange-yellow spotting coalescing into dry ragged leaflet margins.,"Leaf rot, Gray leaf spot (Pestalotiopsis), Tanjore wilt early yellowing.",High potassium demand of perennial palms; extensive leaching in sandy coastal soils and laterites.,"Coastal sands, laterites of Kerala and Karnataka with K2O <100 kg/ha.",Annual application of 1.2 to 1.5 kg Muriate of Potash (MOP) per bearing adult palm per year in split doses (May/June and September/October).,Apply 2 kg MOP + 1 kg Epsom Salt (Magnesium Sulphate) per palm into circular basin 1.8m from trunk.,Straight Potassic Fertilizer,ICAR-CPCRI Kasaragod & Coconut Development Board,https://cpcri.gov.in,VERIFIED
Tomato,Calcium (Ca),"Growing tips, young expanding leaves, fruit blossom end (Immobile)",Blossom End Rot (BER) on fruits: dark brown to black flattened sunken leathery patch at blossom end of fruit; apical leaves cup downward and margins wither.,"Death of growing tips (apical bud abortion), fruit rotting, reduced commercial value.",Depressed circular necrotic leathery lesion at bottom tip of tomato fruit.,"Anthracnose fruit rot, fruit borer entry holes, sunscald.","Fluctuating soil moisture, excessive ammonium or potassium fertilization interfering with calcium uptake, acidic soils.","Acidic laterite soils, sandy soils with low cation exchange capacity, dry drought-stressed soils.",Maintain uniform soil moisture using drip irrigation; avoid excessive nitrogen top-dressing; apply agricultural lime in acidic soils.,"Foliar spray of Calcium Nitrate (18.8% Ca, 15.5% N) @ 5g/L or Chelated Calcium (EDTA-Ca) @ 1.5g/L during early fruit set.",Calcium Fertilizer,ICAR-IIHR Bengaluru & TNAU,https://iihr.res.in,VERIFIED
Chilli,Magnesium (Mg),Older and middle leaves (Mobile),Distinct interveinal chlorosis on older leaves: leaf veins remain green while interveinal tissue turns bright yellow to bronze; in severe cases leaf margins turn purple-red.,"Premature leaf shedding, reduced photosynthetic capacity, poor pod development.",Striking green veins on yellow leaf background on lower leaves.,"Chilli mosaic virus, mite-induced stippling, early powdery mildew chlorosis.",Heavy potassium or calcium application outcompeting magnesium for root uptake; highly leached acidic sandy soils.,"Acidic soils (pH <5.5), high-K fertilized soils.",Soil application of Dolomite (calcium-magnesium carbonate) or Magnesium Sulphate (Epsom salt) during field preparation.,Foliar spray of Magnesium Sulphate @ 5g/L or 10g/L at 15-day intervals.,Secondary Nutrient Fertilizer,ANGRAU Lam Guntur & UAS Dharwad,https://angrau.ac.in,VERIFIED
Paddy / Rice,Zinc (Zn),Middle and younger leaves (2 to 4 weeks after transplanting),Khaira disease / Zinc deficiency: brownish-red or rust-colored blotches/streaks along midrib of leaves; lower leaves droop; plants severely stunted in patches.,"Delayed maturity, poor tillering, uneven patchy field growth, substantial yield reduction.",Rust-brown coalescing pigment patches along midrib and blade.,"Brown spot (Bipolaris oryzae), iron toxicity bronzing, tungro virus.","Alkaline/calcareous soils (pH >7.8), continuous submergence causing insoluble zinc sulphide precipitation, excessive phosphatic fertilization.","Calcareous black soils (Vertisols) of Tungabhadra, Krishna-Godavari deltas and alkaline soils of Tamil Nadu.",Basal soil application of Zinc Sulphate (heptahydrate 21% or monohydrate 33%) @ 25 kg/ha once every 3 seasons.,Emergency foliar spray of Zinc Sulphate @ 5g/L + Lime @ 2.5g/L (or unslaked lime neutralizer) twice at 10-day intervals.,Micronutrient Fertilizer,ICAR-IIRR Hyderabad & TNAU Agritech,https://icar-iirr.org,VERIFIED
Maize / Corn,Zinc (Zn),Younger leaves in whorl,'White Bud' of maize: broad bleached white to pale yellow bands on both sides of leaf midrib starting from base; midrib and leaf margins remain green; emerging whorl leaves almost white.,"Short internodes resulting in stunted bushy plants, delayed silking causing barren ears.",Broad white/cream bands on both sides of central midrib.,"Maize dwarf mosaic virus, downy mildew chlorotic stripes.","High soil pH (>7.5), high available phosphorus, cold wet soils during germination.","Calcareous soils, heavily phosphated soils.",Basal application of Zinc Sulphate @ 20-25 kg/ha mixed with FYM.,Foliar spray of Chelated Zinc (EDTA-Zn 12%) @ 1g/L or Zinc Sulphate @ 5g/L neutralized with 2.5g lime.,Micronutrient Fertilizer,ICAR-IIMR & UAS Bangalore,https://iimr.icar.gov.in,VERIFIED
