crop,disease_name,scientific_name,common_local_name,affected_plant_part,symptoms,cause_type,pathogen_organism,environmental_conditions,season,geographical_relevance,south_indian_states,severity,prevention,management,source,source_url,source_type,verification_status
Tomato,Early Blight,Alternaria solani,"Kooda tegulu (Telugu), Karukal noi (Tamil), Munchina Angamari (Kannada)","Lower foliage, stems, developing fruits",Dark brown circular spots with characteristic concentric rings creating a target-board pattern; leaves yellow and drop prematurely.,Fungal,Alternaria solani,Warm temperatures (24-30°C) with alternating wet and dry weather; prolonged dew periods.,Kharif and Post-Monsoon / Rabi,Widespread across all tomato tracts in South India,"Karnataka, Tamil Nadu, Andhra Pradesh, Telangana",Moderate to High,Use certified pathogen-free seeds; treat seed with Trichoderma viride @ 4g/kg; practice 3-year crop rotation with non-solanaceous crops.,Foliar spray of Mancozeb 75% WP @ 2g/L or Chlorothalonil 75% WP @ 2g/L early morning upon first lesion observation.,TNAU Agritech Portal & UAS Bangalore Package of Practices,https://agritech.tnau.ac.in/crop_protection/crop_prot_crop%20diseases_veg_tomato.html,Agricultural University Package of Practices,VERIFIED
Tomato,Late Blight,Phytophthora infestans,"Kollai noi (Tamil), Angamari (Kannada)","Leaves, petiole, stem, green fruit",Water-soaked irregular pale green lesions on leaves rapidly turning dark brown/black; white fungal downy growth on leaf undersides under high humidity; rapid vine collapse.,Oomycete / Fungal,Phytophthora infestans,Cool temperatures (12-22°C) combined with high relative humidity (>90%) and continuous cloudy/rainy days.,Late Kharif / Winter (Rabi) in hilly and plateau tracts,"Hill tracts (Nilgiris, Dindigul hills) and winter plateau plains (Kolar, Belagavi, Madanapalle)","Tamil Nadu, Karnataka, Andhra Pradesh",Critical,Ensure good drainage; avoid overhead sprinkler irrigation; destroy infected volunteer tomato/potato plants.,Prophylactic spray of Mancozeb 75% WP @ 2.5g/L; curative spray of Metalaxyl 8% + Mancozeb 64% WP @ 2g/L or Cymoxanil 8% + Mancozeb 64% WP @ 2g/L.,ICAR-IIHR Bengaluru & TNAU Crop Protection,https://iihr.res.in,ICAR National Institute Research Guide,VERIFIED
Tomato,Bacterial Wilt,Ralstonia solanacearum,"Bacterial wilt, Soragu roga (Kannada), Pakkeeriya vadal (Tamil)","Vascular system, roots, lower stems",Rapid complete wilting of green plant without initial yellowing; vascular browning visible upon stem cross-section; bacterial streaming in clear water.,Bacterial,Ralstonia solanacearum,"High soil moisture, warm soil temperatures (30-35°C), acidic to neutral sandy loam soils.",Kharif and Summer,Endemic in coastal and high rainfall river plains,"Kerala, Karnataka, Tamil Nadu, Andhra Pradesh",Critical,"Grow wilt-resistant varieties/hybrids (e.g., Arka Abha, Arka Alok, Mukti, Sakthi); avoid planting in waterlogged soils; crop rotation with maize/paddy.",Soil drenching around healthy border plants with Copper Oxychloride 50% WP @ 2.5g/L + Streptocycline @ 0.1g/L; uproot and burn infected plants.,KAU Package of Practices & ICAR-IIHR,https://celkau.in/ecropdoctor/Crops.aspx,Agricultural University Package of Practices,VERIFIED
Tomato,Tomato Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),"Ele muduru roga (Kannada), Ilai churul noi (Tamil), Aaku mudatha (Telugu)","Apical foliage, flowers",Upward curling and puckering of leaf margins; reduction in leaflet size; interveinal chlorosis; severe stunting and bushy appearance with flower dropping.,Viral (Begomovirus),Tomato leaf curl virus (vectored by Bemisia tabaci whitefly),Warm and dry weather favoring high whitefly reproduction and dispersal.,Summer and early Kharif,Ubiquitous in all South Indian semi-arid tracts,"Karnataka, Andhra Pradesh, Telangana, Tamil Nadu",Severe,"Plant virus-tolerant hybrids (e.g., Arka Rakshak, Arka Samrat); install yellow sticky traps (15/acre); cover nursery with 40-mesh insect net.",Control vector with systemic foliar sprays: Diafenthiuron 50% WP @ 1g/L or Acetamiprid 20% SP @ 0.2g/L; rogue out infected plants within first 30 days.,ICAR-IIHR & ANGRAU Vyavasaya Panchangam,https://iihr.res.in,ICAR National Institute Research Guide,VERIFIED
Paddy / Rice,Blast (Leaf and Neck Blast),Magnaporthe oryzae (Pyricularia oryzae),"Kollai / Kulir noi (Tamil), Benki roga (Kannada), Aggitegulu (Telugu)","Leaf blade, collar, node, panicle neck",Spindle-shaped elliptical eye spots with grey/whitish centers and dark brown margins; blackened rotten panicle neck causing chaffy grain heads (neck blast).,Fungal,Magnaporthe oryzae,"High relative humidity (>90%), night temperatures 20-24°C, prolonged dew, excessive nitrogen fertilizer.","Kuruvai/Samba in TN, Kharif/Rabi in AP/Telangana/Karnataka, Virippu/Mundakan in Kerala","Major endemic disease across Cauvery Delta, Godavari Delta, Coastal Karnataka, Kuttanad","Tamil Nadu, Andhra Pradesh, Telangana, Karnataka, Kerala, Puducherry",Critical,Avoid split excessive application of nitrogen; treat seeds with Carbendazim 50% WP @ 2g/kg or Tricyclazole 75% WP @ 1.5g/kg.,Spray Tricyclazole 75% WP @ 0.6g/L or Isoprothiolane 40% EC @ 1.5ml/L or Kasugamycin 3% SL @ 2.5ml/L at tillering and boot leaf stages.,ICAR-IIRR Hyderabad & TNAU Agritech Portal,https://icar-iirr.org,ICAR National Institute Research Guide,VERIFIED
Paddy / Rice,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,"Pakkeeriya noi (Tamil), Bakteeriyadinda banna roga (Kannada), Pakshika tegulu (Telugu)","Leaf tips and margins, vascular system",Water-soaked stripes starting at leaf tips and margins undulating downwards; turns straw-yellow to dirty white; bacterial oozes visible as tiny golden beads on dew mornings; kresek phase in seedlings.,Bacterial,Xanthomonas oryzae pv. oryzae,"Heavy rainfall, severe winds during cyclonic depressions, temperature 25-34°C, standing floodwater.",Late Kharif / Northeast Monsoon season,Severe in coastal flood-prone areas and deltaic tracts,"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka, Puducherry",Severe,"Use resistant varieties (e.g., Improved Samba Mahsuri, ADT 43); avoid clipping of seedling tips during transplanting; drain standing water.",Spray Copper Oxychloride 50% WP @ 2.5g/L mixed with Streptocycline @ 0.1g/L; temporarily suspend nitrogen top-dressing.,ICAR-IIRR & ANGRAU Vyavasaya Panchangam,https://icar-iirr.org,ICAR National Institute Research Guide,VERIFIED
Paddy / Rice,Sheath Blight,Rhizoctonia solani,"Urai azhukal (Tamil), Sheath blight, Poda tegulu (Telugu)","Leaf sheath near water level, ascending to flag leaf",Greenish-grey oval or irregular water-soaked spots on leaf sheaths; lesions enlarge with bleached grey centers and dark reddish-brown borders; sclerotial bodies develop on lesions.,Fungal,Rhizoctonia solani,"Dense crop canopy, high relative humidity (85-100%), temperature 28-32°C, high doses of nitrogen.",Tillering to panicle initiation in all seasons,Intensively cultivated high-density irrigated rice fields,"Andhra Pradesh, Telangana, Tamil Nadu, Karnataka, Kerala",Severe,Maintain wider plant spacing (20x15 cm); apply balanced potash nutrition; destroy stubbles after harvest.,Foliar spray directed towards base of tillers: Hexaconazole 5% SC @ 2ml/L or Validamycin 3% L @ 2ml/L or Thifluzamide 24% SC @ 0.75ml/L.,TNAU Agritech Portal & KAU Package of Practices,https://agritech.tnau.ac.in,Agricultural University Package of Practices,VERIFIED
Chilli,Anthracnose / Fruit Rot & Dieback,Colletotrichum capsici (Colletotrichum truncatum),"Pazham azhukal (Tamil), Kudi tegulu / Kaya kulla (Telugu), Hannu kora (Kannada)","Ripe fruits, tender shoots, twigs","Sunken, circular to oval lesions with black concentric rings of fungal acervuli on ripe fruits; tips of branches wither, dry and turn ash grey downwards (dieback).",Fungal,Colletotrichum capsici,"Warm humid conditions (28-32°C, RH >80%) with intermittent rain showers during fruit ripening.",Rabi and late Kharif,"Major limiting factor in Guntur, Warangal, Byadagi, Ramanathapuram chilli tracts","Andhra Pradesh, Telangana, Karnataka, Tamil Nadu",Severe to Critical,Collect and burn mummified fruits; treat seed with Thiram @ 2g/kg or Trichoderma @ 6g/kg; avoid furrow water splash.,Spray Mancozeb 75% WP @ 2.5g/L or Azoxystrobin 23% SC @ 1ml/L or Difenoconazole 25% EC @ 1ml/L at 10-15 day intervals.,"ANGRAU Regional Agricultural Research Station (Lam, Guntur)",https://angrau.ac.in,Agricultural University Research Guide,VERIFIED
Chilli,Chilli Leaf Curl Complex,Chilli leaf curl virus (ChiLCV) & Thrips/Mite complex,"Muduru roga (Kannada), Murukku noi (Tamil), Bobbara tegulu (Telugu)","Terminal foliage, buds, flower stalks","Upward curling and canoeing of leaves (thrips/virus) or downward cupping with inverted boat shape (yellow mite); leaves turn leathery, brittle and crinkled.",Viral vector / Arthropod complex,ChiLCV (vectored by Whitefly) + Scirtothrips dorsalis + Polyphagotarsonemus latus,Prolonged dry spells with warm daytime temperatures (30-36°C) favoring sucking pest multiplication.,Post-transplanting throughout vegetative growth,Widespread across all southern dry zone chilli areas,"Andhra Pradesh, Telangana, Karnataka, Tamil Nadu",Severe,Erect barrier crops (3 rows of maize/sorghum around plot); install blue sticky traps (thrips) and yellow traps (whitefly) @ 15/acre each.,Spray Diafenthiuron 50% WP @ 1.25g/L or Fipronil 5% SC @ 2ml/L for thrips; Fenpyroximate 5% EC @ 1.5ml/L for mites; Acetamiprid 20% SP @ 0.2g/L for whitefly.,UAS Dharwad & TNAU Crop Protection,https://uasd.edu,Agricultural University Package of Practices,VERIFIED
Cotton,Bacterial Blight / Angular Leaf Spot / Blackarm,Xanthomonas citri pv. malvacearum,"Bacterial blight, Konal ilai karukal (Tamil), Kona tegulu (Telugu), Kona machhe (Kannada)","Cotyledons, leaf blades, petioles, stems, bolls",Angular water-soaked spots bounded by leaf veinlets; lesions turn brown to black; blackarm lesion girdles branches; circular water-soaked sunken spots on bolls.,Bacterial,Xanthomonas citri pv. malvacearum,"Warm humid conditions (25-30°C), intermittent rains and high wind speed during monsoon.",Kharif and early post-monsoon,"Cotton belts of North Karnataka, Rayalaseema, Western Tamil Nadu, Northern Telangana","Karnataka, Andhra Pradesh, Telangana, Tamil Nadu",Severe,Acid delinting of cottonseed with commercial sulphuric acid (100ml/kg); use resistant cultivars; destroy crop residues.,Foliar spray of Copper Oxychloride 50% WP @ 2.5g/L + Streptocycline @ 0.1g/L; repeat after 15 days if rainfall persists.,ICAR-CICR Regional Station Coimbatore & UAS Dharwad,https://cicr.icar.gov.in,ICAR National Institute Research Guide,VERIFIED
