dataset_id,dataset_name,crop,alternate_crop_name,disease_or_pest_classes,healthy_class_present,image_count_if_known,format,image_type,leaf_fruit_wholeplant_pest,country_or_region_if_known,South_India_relevance,source,source_url,download_url_if_available,license,license_verified,commercial_use_allowed_if_known,research_use_allowed_if_known,annotations_available,annotation_type,train_test_split_available,image_quality,duplicate_risk,class_balance,dataset_size,paper_or_reference,collection_method_if_known,notes,recommended_for_training,recommended_for_validation,recommended_for_reference_only
DS_COFFEE_01,RoCoLe: A Robusta Coffee Leaf Images Dataset,Coffee,Robusta Coffee / Coffea canephora,"Coffee Leaf Rust (Hemileia vastatrix), Red Spider Mite (Oligonychus ilicis), Healthy",Yes,1560,JPG,RGB smartphone high-resolution field photography,Leaf (front and back),Ecuador (tropical humid),HIGH,Mendeley Data / Kaggle,https://data.mendeley.com/datasets/chsy5kv84n/1,https://data.mendeley.com/public-files/datasets/chsy5kv84n/files/...,CC BY 4.0,Yes,Yes (with attribution),Yes,Yes,Class folder + lesion segmentation masks + severity score (0-5),No (user-defined),"High (uncompressed phone camera, varied sunlight)",Low (original benchmark),"Balanced across rust, mite, and healthy",1.2 GB,"Parraga-Alava et al., 'RoCoLe: A robusta coffee leaf images dataset', Data in Brief 27 (2019): 104815",In-situ field photography across commercial Robusta plantations,Directly matches Kodagu / Wayanad / Chikmagalur Robusta coffee rust and red spider mite strains.,Yes,Yes,No
DS_COFFEE_02,BRACOL: A Brazilian Arabica Coffee Leaf Images Dataset,Coffee,Arabica Coffee / Coffea arabica,"Leaf Rust (Hemileia vastatrix), Brown Eye Spot / Cercospora (Cercospora coffeicola), Leaf Miner (Leucoptera coffeella), Rust+Cercospora co-infection, Healthy",Yes,1747,JPG,RGB smartphone field images (white background board & natural background),Leaf,Brazil (Minas Gerais / Espirito Santo),HIGH,Mendeley Data / GitHub,https://data.mendeley.com/datasets/yy2vn5mpnn/1,https://github.com/jpedroesgario/BRACOL,CC BY 4.0,Yes,Yes (with attribution),Yes,Yes,Multi-label bounding boxes & disease severity percentage,Yes (5-fold stratified CV provided),High (2048x1536),Medium (heavily mirrored on Kaggle under 'Coffee leaf diseases'),"Moderate (rust and cercospora abundant, miner moderate)",850 MB,"Esgario et al., 'Deep learning for classification and severity estimation of coffee leaf biotic stress', Computers and Electronics in Agriculture 169 (2020): 105162",Field collection with controlled white canvas backing and natural background,"Essential for South Indian Arabica belt (Bababudangiri, Shevaroys, Nilgiris). Covers co-infection.",Yes,Yes,No
DS_COFFEE_03,Uganda Coffee Leaf Disease Classification Dataset,Coffee,Coffea canephora / Coffea arabica,"Coffee Leaf Rust, Phoma Leaf Spot (Phoma costaricensis), Healthy",Yes,3312,JPG,RGB in-situ field photography,Leaf,Uganda,MEDIUM,Mendeley Data,https://data.mendeley.com/datasets/9ny5g3cypb/1,https://data.mendeley.com/public-files/datasets/9ny5g3cypb/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Classification class folders,No,Medium-High,Low,Well-balanced (~1000 per class),1.8 GB,"Sembatya et al., Makerere University AI Lab, 2022",Farmer field surveillance in central Uganda,Excellent supplementary dataset for Phoma leaf spot and independent validation of rust.,Yes,Yes,No
DS_TEA_01,Mendeley Tea Leaf Disease Dataset,Tea,Camellia sinensis,"Algal Leaf Spot (Cephaleuros virescens), Brown Blight (Colletotrichum camelliae), Grey Blight (Pestalotiopsis theae), Helopeltis / Tea Mosquito Bug damage (Helopeltis theivora), Red Spider Mite (Oligonychus coffeae), Healthy",Yes,5180,JPG,RGB in-field estate camera images,Leaf,India / South Asia,HIGH,Mendeley Data / Kaggle,https://data.mendeley.com/datasets/hbt4nnvdfj/1,https://data.mendeley.com/public-files/datasets/hbt4nnvdfj/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders,No,High resolution (clear lesions),High (repackaged on Kaggle as 'teaLeafBD' and 'TeaLeafNet'),Approximately 800-900 per class,2.4 GB,"Roy et al., 'Deep learning for tea leaf disease recognition', 2021",Commercial tea garden surveys,"Covers the EXACT primary tea diseases of Nilgiris, Valparai, Munnar, and Wayanad (Helopeltis, Blister, Grey blight).",Yes,Yes,No
DS_TEA_02,Preprocessed Image Dataset of Indian Tea Leaves,Tea,Camellia sinensis,"Helopeltis theivora infestation, Red Spider Mite damage, Healthy",Yes,1150,PNG / JPG,RGB field images with background segmented subsets,Leaf and shoot tip,India (Assam and South India estates),HIGH,Mendeley Data,https://data.mendeley.com/datasets/t83r496v3x/1,https://data.mendeley.com/public-files/datasets/t83r496v3x/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders + masked leaves,Yes,High,Low,Balanced,450 MB,"Bhattacharya et al., 'Automated detection of pest attacks in tea plantations', 2022",Field photography using high-resolution macro cameras,Critical for detecting pest damage (Helopeltis causes brown necrotic punctures on tender shoots).,Yes,Yes,No
DS_RUBBER_01,BDRubberLeaf: Rubber Tree Leaf Diseases Dataset,Rubber,Hevea brasiliensis,"Abnormal Leaf Fall (Phytophthora meadii), Anthracnose (Colletotrichum gloeosporioides), Black Spot, Dry Leaf, Leaf Blight, Leaf Spot, Powdery Mildew (Oidium heveae), Healthy Leaf",Yes,4066,JPG,RGB smartphone field captures,Leaf,Bangladesh / South Asian humid tropical zone,HIGH,Mendeley Data,https://data.mendeley.com/datasets/s9r4f3x9d6/1,https://data.mendeley.com/public-files/datasets/s9r4f3x9d6/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders,No,High (clean camera captures in plantation canopy),Low (original 2023 release),Slight imbalance (Anthracnose and Powdery mildew dominant),1.6 GB,"Hossain et al., 'BDRubberLeaf: A Comprehensive Dataset of Rubber Tree Leaf Diseases', Mendeley Data 2023",Field sampling across commercial rubber clones,Matches dominant Kerala rubber diseases: Abnormal leaf fall (Phytophthora) and Powdery mildew (Oidium).,Yes,Yes,No
DS_SUGAR_01,Mendeley Sugarcane Leaf Image Dataset (7K),Sugarcane,Saccharum officinarum,"Red Rot (Colletotrichum falcatum), Rust (Puccinia melanocephala), Yellow Leaf Disease (SCYLV), Mosaic, Leaf Scorch, Grassy Shoot (Phytoplasma), Eye Spot, Smut (Sporisorium scitamineum), Dried Leaves, Healthy Leaves",Yes,7134,JPG,RGB field high-resolution camera images (768x1024),Leaf and stalk,India,HIGH,Mendeley Data,https://data.mendeley.com/datasets/844r2h4jpm/1,https://data.mendeley.com/public-files/datasets/844r2h4jpm/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders (12 classes),No,High (clear field symptoms on leaves and midribs),Medium (mirrored partially on Kaggle and Zenodo),Moderate (Red rot and Rust heavily represented),2.8 GB,"Militante et al., 'Sugarcane Disease Recognition using Deep Convolutional Neural Networks', 2022",Field collection across research farms,"Red rot (Colletotrichum falcatum) is the #1 killer disease in Mandya (Karnataka), Cuddalore (TN), and Nizamabad (Telangana).",Yes,Yes,No
DS_SUGAR_02,Sugarcane Leaf Disease Dataset (Wardaruhin),Sugarcane,Saccharum officinarum,"Red Rot, Rust, Mosaic, Yellow Disease, Healthy",Yes,2569,JPG,RGB field images,Leaf,South Asia / India,HIGH,Kaggle,https://www.kaggle.com/datasets/wardaruhin/sugarcane-leaf-diseases,https://www.kaggle.com/api/v1/datasets/download/wardaruhin/sugarcane-leaf-diseases,CC BY-SA 4.0,Yes,Yes (ShareAlike),Yes,Yes,Class folders (5 classes),Yes (train/val split provided),Medium-High,High (contains subsets of Mendeley 844r2h4jpm),Balanced (~500 per class),245 MB,Kaggle community curated benchmark,Agricultural farm survey,Well-balanced for rapid 5-class training.,Yes,Yes,No
DS_COTTON_01,SAR-CLD-2024: Cotton Leaf Disease Detection Dataset,Cotton,Gossypium hirsutum / Gossypium herbaceum,"Bacterial Blight (Xanthomonas citri pv. malvacearum), Fungal Leaf Spot (Alternaria macrospora), Cotton Leaf Curl Virus (CLCuV), Target Spot (Corynespora cassiicola), Healthy",Yes,2137,JPG,RGB smartphone field captures under varied sunlight and angles,Leaf and young boll,India / South Asia,HIGH,Mendeley Data,https://data.mendeley.com/datasets/pd66v5v4p8/1,https://data.mendeley.com/public-files/datasets/pd66v5v4p8/files/...,CC BY 4.0,Yes,Yes,Yes,Yes,Class folders + augmentations available (7000+ total),No,High (unfiltered in-situ farmer field conditions),Low (original 2024 release),Well-balanced,980 MB,"Soni et al., 'SAR-CLD: Deep Learning for Cotton Crop Pathology', 2024",Direct farmer fields across major cotton growing districts,"Directly matches Warangal, Adilabad, Kurnool, and Dharwad cotton diseases.",Yes,Yes,No
DS_COTTON_02,Cotton Plant Disease and Pest Dataset (Janmejay Bhoi),Cotton,Gossypium spp.,"Bacterial Blight, Powdery Mildew, Target Spot, Aphids (Aphis gossypii), Armyworm (Spodoptera frugiperda), Healthy",Yes,2480,JPG,RGB field images,Leaf and pest clusters,India (Gujarat / Maharashtra / Telangana border),HIGH,Kaggle,https://www.kaggle.com/datasets/janmejaybhoi/cotton-disease-dataset,https://www.kaggle.com/api/v1/datasets/download/janmejaybhoi/cotton-disease-dataset,CC0: Public Domain,Yes,Yes,Yes,Yes,Class folders,Yes (pre-split train/val/test),Medium-High,Medium (popular Kaggle benchmark),Balanced,320 MB,Kaggle Open Dataset 2021,Field photography,"Includes critical pest classes (Aphids, Armyworm) along with bacterial and fungal leaf spots.",Yes,Yes,No
