crop,crop_id,pest,scientific_name,pest_type,affected_plant_part,damage_symptoms,life_stage,favourable_conditions,cause_relationship,affected_diseases,management,prevention,source,source_url,verification_status,verification_date
Tomato,tomato,Tomato Fruit Borer,Helicoverpa armigera,Lepidopteran borer (Caterpillar),"Leaves, flower buds, green and ripe fruits",Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.,Larval instars (3rd to 5th),"Warm days (26-32°C), moderate relative humidity, presence of alternate hosts (pigeonpea, cotton, chickpea).",Pest infestation/damage,None directly transmitted (bore holes predispose fruits to secondary fungal/bacterial soft rot),"Release egg parasitoid Trichogramma chilonis @ 50,000/ha; spray HaNPV (Helicoverpa nuclear polyhedrosis virus) @ 250 LE/ha with 1% jaggery; application of Chlorantraniliprole 18.5% SC @ 0.3ml/L (PHI: 3 days) or Emamectin Benzoate 5% SG @ 0.4g/L.",Intercrop with African Marigold (1 row marigold for every 16 rows tomato) as trap crop; install pheromone traps (Helilure @ 5/acre).,ICAR-IIHR & TNAU Agritech Portal,https://agritech.tnau.ac.in,VERIFIED,2026-09-12
Tomato,tomato,Whitefly,Bemisia tabaci,Hemipteran sucking insect,"Underside of tender leaves, growing shoots",Nymphs and adults suck cell sap from leaf undersides causing chlorotic stippling and downward leaf curling; heavy honeydew excretion leads to black sooty mold.,Nymphs and adults,"Warm dry conditions (28-35°C), low relative humidity (<60%), dry spells during post-monsoon.",Pest vectors and transmits plant pathogenic virus,Tomato Yellow Leaf Curl Virus (TYLCV),"Spray neem oil 10,000 ppm @ 2ml/L; release predatory lacewings Chrysoperla zastrowi @ 10,000/ha; spray Diafenthiuron 50% WP @ 1.25g/L or Acetamiprid 20% SP @ 0.2g/L.",Install yellow sticky traps (15-20/acre) at canopy level; grow border crop of 2 rows of maize or pearl millet as live barrier; use 40-mesh insect-proof netting in nurseries.,ICAR-IIHR Bengaluru & TNAU Agritech,https://iihr.res.in,VERIFIED,2026-09-12
Tomato,tomato,Two-Spotted Spider Mite,Tetranychus urticae,Acari (Arachnid mite),Undersurface of older and middle leaves,Mites puncture plant cells on leaf undersurface causing fine white or yellow speckles (stippling); leaves turn bronzed and dry; fine silky webbing covers terminals.,Nymphs and adult mites,"Hot and dry climate (30-38°C), dusty field borders, prolonged drought stress.",Pest infestation/damage,None directly transmitted,Foliar wash with water jets to knock down mites; spray wettable sulphur 80% WP @ 3g/L or Spiromesifen 22.9% SC @ 1ml/L or Abamectin 1.9% EC @ 0.75ml/L.,Avoid water stress in crops; maintain good weed sanitation; avoid broad-spectrum pyrethroid insecticides which eliminate predatory phytoseiid mites.,ICAR-IIHR & TNAU Agritech Portal,https://agritech.tnau.ac.in,VERIFIED,2026-09-12
Paddy / Rice,paddy,Brown Plant Hopper (BPH),Nilaparvata lugens,Hemipteran sucking pest,"Base of tillers, leaf sheath above water line","Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'.",Nymphs and adults,"High nitrogen application, dense planting, prolonged high humidity (>85%), stagnant standing water.",Pest vectors and transmits plant pathogenic virus,Rice Grassy Stunt Virus & Rice Ragged Stunt Virus,Alternate wetting and drying (AWD) irrigation; drain water for 3-4 days; conserve mirid bug Cyrtorhinus lividipennis; spray Triflumezopyrim 10% SC @ 0.48ml/L or Pymetrozine 50% WDG @ 0.6g/L directed strictly at the base.,Adopt wider spacing (20x15 cm) with alleyways (2m paths); avoid synthetic pyrethroid sprays which kill predatory spiders.,ICAR-IIRR Hyderabad & TNAU,https://icar-iirr.org,VERIFIED,2026-09-12
Paddy / Rice,paddy,Yellow Stem Borer,Scirpophaga incertulas,Lepidopteran borer,Internal stem pith,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Caterpillar (Larva),"Stagnant deep water, night temperatures 20-26°C, continuous staggered planting.",Pest infestation/damage,None directly transmitted,"Release egg parasitoid Trichogramma japonicum @ 1,00,000/ha at weekly intervals; apply Chlorantraniliprole 0.4% GR @ 10kg/ha in standing water or Cartap Hydrochloride 50% SP @ 2g/L.",Clip tip of rice seedlings before transplanting to eliminate egg masses; install sex pheromone traps @ 5/acre.,ICAR-IIRR & ANGRAU Vyavasaya Panchangam,https://icar-iirr.org,VERIFIED,2026-09-12
Chilli,chilli,Chilli Thrips,Scirtothrips dorsalis,Thysanopteran sucking pest,"Under-surface of leaves, growing tips, flowers",Lacerate tender leaf tissues and suck oozing sap; leaves curl upwards into boat-shapes with roughened brown necrotic streaks on leaf undersides; causes 'murda' condition.,Nymphs and adults,"Hot and dry weather, absence of rain showers, temperatures 30-37°C.",Pest vectors and transmits plant pathogenic virus,Peanut Yellow Spot Virus / Chilli Tospo virus,Spray Lecanicillium lecanii @ 5g/L; apply Spinosad 45% SC @ 0.3ml/L or Fipronil 5% SC @ 2ml/L or Diafenthiuron 50% WP @ 1.25g/L (PHI: 7 days).,Intercrop with sorghum or maize as barrier crop; install blue sticky traps (15-20 traps/acre); spray neem seed kernel extract (NSKE 5%).,"ANGRAU Regional Agricultural Research Station (Lam, Guntur) & TNAU",https://angrau.ac.in,VERIFIED,2026-09-12
Cotton,cotton,Pink Bollworm,Pectinophora gossypiella,Lepidopteran borer,"Squares, flower buds, green bolls, lint and seeds","Rosetted flowers that fail to open; entry holes in bolls heal over leaving no external sign, but larvae feed inside seeds, staining and destroying lint fiber; premature boll opening.",Larval instars,"Late planted cotton, extended crop duration beyond 160 days, warm and humid post-monsoon weather.",Pest infestation/damage,None directly transmitted,"Trichogrammatoidea bactrae release @ 1,50,000/ha; spray Beauveria bassiana @ 5g/L; apply Emamectin Benzoate 5% SG @ 0.4g/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L upon crossing ETL (8 moths/trap/day for 3 days).",Strictly terminate crop within 150-160 days to break pest lifecycle; install pink bollworm pheromone traps (Gossyplure @ 5/acre); avoid storing cotton stalks in fields.,ICAR-CICR Nagpur/Coimbatore & UAS Raichur,https://cicr.icar.gov.in,VERIFIED,2026-09-12
Cotton,cotton,Cotton Whitefly,Bemisia tabaci,Hemipteran sucking insect,Lower surface of cotton foliage,Sucking sap leads to leaf chlorosis and premature leaf drop; dense honeydew promotes sooty mold on lint.,Nymphs and adults,"Warm and dry conditions (30-36°C) with low rainfall, high nitrogen fertilization.",Pest vectors and transmits plant pathogenic virus,Cotton Leaf Curl Virus (CLCuV),Spray neem oil 1500 ppm @ 3ml/L; spray Pyriproxyfen 10% EC @ 1ml/L or Diafenthiuron 50% WP @ 1.25g/L or Afidopyropen 50 g/L @ 2ml/L.,Install yellow sticky traps (10/acre); avoid excessive urea applications; grow resistant/tolerant hybrids.,ICAR-CICR Nagpur & UAS Dharwad,https://cicr.icar.gov.in,VERIFIED,2026-09-12
Sugarcane,sugarcane,Early Shoot Borer,Chilo infuscatellus,Lepidopteran borer,Shoots of young cane (1 to 3 months old),Larva bores into base of young shoot just below soil level and feeds inside; central growing shoot dries up into an easily-pulled 'dead heart' emitting an offensive decaying smell.,Larva (Caterpillar),"High temperatures (35-40°C), low relative humidity, light sandy soils, drought stress during early vegetative phase.",Pest infestation/damage,None directly transmitted,"Release Trichogramma chilonis @ 50,000/ha from 4th week of planting at 10-day intervals; spray Granulosis virus (ESB-GV) @ 1.5x10^8 IBS/ml; apply Chlorantraniliprole 0.4% GR @ 18.75kg/ha at planting or spray Chlorantraniliprole 18.5% SC @ 0.3ml/L at 30 days.",Plant setts in deep furrows; trash mulching @ 5 tonnes/ha on ridges within 3 days of planting; earthing up at 45 days.,ICAR-Sugarcane Breeding Institute (SBI Coimbatore),https://sugarcane.icar.gov.in,VERIFIED,2026-09-12
Maize / Corn,maize,Fall Armyworm (FAW),Spodoptera frugiperda,Lepidopteran defoliator & borer,"Leaf whorl, tassel, ear silks, developing kernels",Young larvae scrape epidermal layer creating papery pinholes; older larvae feed inside leaf whorl causing heavy ragged windowing and leaving prominent piles of wet sawdust-like fecal frass; inverted Y mark on head.,Larval instars,"Warm and semi-arid conditions (26-34°C), prolonged dry spells followed by rain.",Pest infestation/damage,None directly transmitted,"Release egg parasitoid Telenomus remus @ 1,25,000/ha; spray Bacillus thuringiensis var. kurstaki @ 2g/L or Metarhizium rileyi @ 3g/L; apply Chlorantraniliprole 18.5% SC @ 0.4ml/L or Emamectin Benzoate 5% SG @ 0.4g/L directed into the central whorl.",Synchronous planting in village clusters; erect bird perches (10/acre); apply sand and wood ash (9:1) directly into whorls; install FAW pheromone traps @ 5/acre.,ICAR-NBAIR Bengaluru & ICAR-IIMR,https://nbair.icar.gov.in,VERIFIED,2026-09-12
