crop,crop_id,pest,scientific_name,pest_type,affected_plant_part,damage_symptoms,life_stage,favourable_conditions,cause_relationship,affected_diseases,management,prevention,source,source_url,verification_status,verification_date
"Paddy","paddy","Yellow Stem Borer","Scirpophaga incertulas","Lepidopteran borer (Caterpillar)","Central tillers, growing shoot, panicle base","Dead hearts in vegetative tillers; white heads (chaffy, empty panicles) at heading stage.","Larvae","Warm humid weather (25-30°C), dense planting, continuous waterlogging.","Pest infestation/damage","None directly transmitted (wounds permit fungal entry)","Release Trichogramma japonicum @ 100,000/ha; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Cartap hydrochloride 50% SP @ 2g/L.","Install pheromone traps (Scirpo-lure @ 5/acre); clip seedling leaf tips before transplanting to remove egg masses.","ICAR-NRRI & TNAU Agritech Portal","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Paddy","paddy","Brown Plant Hopper (BPH)","Nilaparvata lugens","Hemipteran sucking insect","Base of tillers, stems","Nymphs and adults suck sap at stem base causing circular patches of dry brown plants (hopper burn).","Nymphs and adults","High humidity, close planting, excess nitrogen, stagnant water.","Pest vectors and transmits plant pathogenic virus","Rice Grassy Stunt Virus, Rice Ragged Stunt Virus","Alternate wetting and drying (AWD); drain field; spray Triflumezopyrim 10% SC @ 0.5ml/L or Pymetrozine 50% WG @ 0.6g/L.","Create 30cm alley ways every 2.5m; use BPH-tolerant varieties; avoid excessive urea.","ICAR-NRRI Cuttack & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Maize","maize","Fall Armyworm (FAW)","Spodoptera frugiperda","Lepidopteran defoliator & borer","Whorl leaves, tassel, silk, developing cobs","Ragged leaves with pinholes, extensive windowing of whorl leaves packed with copious sawdust-like frass.","Larvae (instars 1-6)","Warm weather (24-32°C), late sown maize, humid cloudy days.","Pest infestation/damage","Predisposes cobs to Aspergillus ear rot","Whorl application of sand + lime mixture (9:1); spray Bacillus thuringiensis (Bt) @ 2g/L or Emamectin Benzoate 5% SG @ 0.4g/L or Spinetoram 11.7% SC @ 0.5ml/L.","Install FAW pheromone traps @ 5/acre; plant border rows of cowpea or sorghum; practice timely synchronous sowing.","ICAR-IIMR & NBAIR Bengaluru","https://iimr.icar.gov.in","VERIFIED","2026-09-20"
"Maize","maize","Maize Stem Borer","Chilo partellus","Lepidopteran borer","Central whorl leaves, stems","Parallel pinhole rows across unfolding leaves; dead heart formation in young seedlings.","Larvae","Moderately high temperature, low humidity during crop establishment.","Pest infestation/damage","None directly transmitted","Release Trichogramma chilonis @ 175,000/ha; apply carbofuran 3% CG @ 5kg/ha into whorls.","Destroy stubbles after harvest; intercrop with cowpea.","ICAR-IIMR Ludhiana & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Ragi","ragi","Ragi Stem Borer","Sesamia inferens","Lepidopteran stem borer","Central shoot, stems, earheads","Dead hearts in vegetative phase; earheads become chaffy and white in reproductive phase.","Larvae (pinkish caterpillar)","Cloudy humid weather, staggered plantings.","Pest infestation/damage","None directly transmitted","Spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Dimethoate 30% EC @ 1.7ml/L if dead hearts exceed 5%.","Early synchronous sowing; pull and burn infested dead-heart tillers.","ICAR-IIMR & UAS Bengaluru","https://uasbangalore.edu.in","VERIFIED","2026-09-20"
"Ragi","ragi","Finger Millet Aphid","Hysteroneura setariae","Hemipteran sucking pest","Underside of leaves, developing earheads","Dense colonies on earheads sucking sap; honeydew secretion leads to sooty mold and shriveled grains.","Nymphs and wingless adults","Dry spells followed by overcast conditions.","Pest infestation/damage","None directly transmitted","Spray Neem Seed Kernel Extract (NSKE 5%) or Azadirachtin 10,000 ppm @ 2ml/L.","Install yellow sticky traps (10/acre); conserve ladybird beetles and syrphid flies.","UAS Dharwad & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Sorghum","sorghum","Sorghum Shoot Fly","Atherigona soccata","Dipteran shoot fly","Young seedlings up to 30 days, central leaf","Dead hearts in 1-4 week old seedlings; decaying central whorl emits foul rot odor when pulled.","Maggots","Late sowings in monsoon, high humidity with moderate temperatures.","Pest infestation/damage","None directly transmitted","Seed treatment with Imidacloprid 70% WS @ 5g/kg; spray Chlorpyrifos 20% EC @ 2ml/L on seedling stage.","Complete sowing within 10-15 days of monsoon onset; adopt higher seed rate (12 kg/ha) and thin out dead hearts.","ICAR-IIMR Hyderabad","https://millets.res.in","VERIFIED","2026-09-20"
"Pearl Millet","pearl_millet","Pearl Millet Shoot Fly","Atherigona approximata","Dipteran fly","Central leaf whorl of seedlings","Dead heart formation in 2-4 week old crop; rotting whorl leaf comes out easily.","Maggots","Delayed sowing, humid climate.","Pest infestation/damage","None directly transmitted","Seed treatment with Thiamethoxam 30% FS @ 4ml/kg; spray Quinalphos 25% EC @ 2ml/L.","Sow synchronously with first monsoon shower; increase seed rate and rogue infested seedlings.","ICAR-AICRP on Pearl Millet & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Foxtail Millet","foxtail_millet","Foxtail Millet Shoot Fly","Atherigona atripalpis","Dipteran shoot fly","Central growing seedling shoot","Dead hearts in young shoots, causing excessive tillering and stunted head formation.","Maggots","Late onset of rains, delayed sowing.","Pest infestation/damage","None directly transmitted","Spray Azadirachtin 10,000 ppm @ 2ml/L or Dimethoate 30% EC @ 1.5ml/L at 15 DAS.","Early uniform sowing; intercrop with pulses.","ICAR-IIMR Millets Package of Practices","https://millets.res.in","VERIFIED","2026-09-20"
"Little Millet","little_millet","Little Millet Shoot Fly","Atherigona pulla","Dipteran shoot fly","Seedling central tiller","Withered dried central shoot (dead heart) in young plants 2 to 4 weeks after emergence.","Maggot","Late kharif sowings, warm humid breaks.","Pest infestation/damage","None directly transmitted","Spray NSKE 5% at 15 and 25 days after sowing; ensure clean cultivation.","Complete sowing within 15 days of first soaking rain; remove dead-heart plants.","ICAR-IIMR Small Millets Division","https://millets.res.in","VERIFIED","2026-09-20"
"Kodo Millet","kodo_millet","Kodo Millet Stem Borer","Chilo partellus","Lepidopteran borer","Stems and tillers","Dead hearts in early stage, chaffy white panicles during earhead emergence.","Larvae","Dry spells in rainy season.","Pest infestation/damage","None directly transmitted","Spray Neem oil 3000 ppm @ 3ml/L; spray Chlorantraniliprole 18.5% SC @ 0.3ml/L if severe.","Burn leftover crop stubbles; rotate with red gram or groundnut.","ICAR-IIMR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
