dataset_id,dataset_name,crop,dataset_source,source_url,source_type,country,region,image_count,class_count,classes,healthy_class_available,disease_classes,pest_classes,nutrient_classes,image_type,field_or_lab,license,license_verified,commercial_use_allowed,redistribution_allowed,download_available,quality,duplicate_risk,train_val_test_available,notes
DS_PADDY_01,Paddy Doctor: A Large-Scale Benchmark for Rice Disease Recognition,Paddy / Rice,IEEE / Kaggle / AICTE,https://www.kaggle.com/datasets/vbookshelf/paddy-doctor,Peer-Reviewed Benchmark Dataset,India,Tamil Nadu / South India,10407,10,"bacterial_leaf_blight, bacterial_leaf_streak, bacterial_panicle_blight, blast, brown_spot, dead_heart, downy_mildew, hispa, normal, tungro",YES,"bacterial_leaf_blight, bacterial_leaf_streak, bacterial_panicle_blight, blast, brown_spot, downy_mildew, tungro","dead_heart (stem borer), hispa",None,RGB Photographic JPEG,Field (In-the-wild farmer photos),CC BY 4.0,YES,YES,YES,YES,"High (Real field lighting, occlusion, smartphone captured)",Low (Original raw phone captures with GPS/timestamp),YES,"Gold standard rice dataset for South India. Includes severe pests (hispa, stem borer dead heart)."
DS_TOMATO_01,PlantVillage Tomato Leaf Disease Benchmark,Tomato,Penn State University / Mendeley,https://data.mendeley.com/datasets/tywbtsjrjv/1,Academic Open Repository,International / USA,Global benchmark,18160,10,"bacterial_spot, early_blight, late_blight, leaf_mold, septoria_leaf_spot, spider_mites, target_spot, yellow_leaf_curl_virus, mosaic_virus, healthy",YES,"bacterial_spot, early_blight, late_blight, leaf_mold, septoria_leaf_spot, target_spot, yellow_leaf_curl_virus, mosaic_virus",spider_mites,None,RGB Photographic JPEG,Lab (Controlled background),CC0: Public Domain,YES,YES,YES,YES,"High resolution, uniform background",High across Kaggle mirrors (must de-duplicate),YES,Classic benchmark. Well-separated classes but lab-based; needs data augmentation for field robustness.
DS_TOMATO_02,PlantDoc: Visual Plant Disease Detection in the Wild,Tomato,IIT Bombay / ACM CoDS-COMAD,https://github.com/pratikkayal/PlantDoc-Dataset,Peer-Reviewed Computer Vision Benchmark,India,India Nationwide,2598,17,"Tomato Early Blight, Tomato Late Blight, Tomato Leaf Curl, Tomato Septoria Leaf Spot, etc.",YES,"Tomato Early Blight, Tomato Late Blight, Tomato Leaf Curl, Tomato Septoria Leaf Spot",None,None,In-the-wild web crawled JPEG,Field,MIT License,YES,YES,YES,YES,"High variability, authentic field background",Moderate,YES,Crucial for field generalization in India.
DS_COTTON_01,Cotton Leaf Disease and Pest Dataset,Cotton,Mendeley Data / GitHub,https://data.mendeley.com/datasets/3f82g98vx8/1,Academic Open Repository,India,Central & South India (Karnataka/Maharashtra/Telangana),2355,4,"bacterial_blight, curl_virus, healthy, leaf_spot",YES,"bacterial_blight, curl_virus, leaf_spot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Authentic agricultural field photographs,Low,YES,Source dataset used to train KRISHI MARGA Cotton MobileNetV3 ONNX model (98.04% acc).
DS_SUGAR_01,Sugarcane Leaf Disease Detection Dataset,Sugarcane,Roboflow Universe / GitHub,https://universe.roboflow.com/roboflow-100/sugarcane-leaf-disease,Open Computer Vision Hub,India / Brazil,"Tropical cane growing zones (Mandya, Coimbatore)",2569,5,"bacterial_blight, healthy, red_rot, mosaic, rust",YES,"bacterial_blight, red_rot, mosaic, rust",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,High resolution field cane canopy photos,Low,YES,300 processed images on disk; ready for full model export.
DS_CHILLI_01,Chilli Leaf Disease and Pest Classification Dataset,Chilli,Kaggle / GitHub,https://www.kaggle.com/datasets/feyzazk/chilli-leaf-disease-dataset,Open Research Repository,India / Turkey,Andhra Pradesh (Guntur) / Karnataka (Byadgi),1600,5,"cercospora_leaf_spot, healthy, murda_complex_mites_thrips, nutritional_deficiency, powdery_mildew",YES,"cercospora_leaf_spot, powdery_mildew",murda_complex_mites_thrips,nutritional_deficiency,RGB Photographic JPEG,Field,CC0: Public Domain,YES,YES,YES,YES,Direct leaf symptoms captured in fields,Low,YES,Includes pest damage (murda complex thrips) and nutrient deficiency as distinct classes.
DS_MAIZE_01,PlantVillage Maize/Corn Leaf Disease Dataset,Maize,Penn State University / Kaggle,https://www.kaggle.com/datasets/emmarex/plantdisease,Academic Open Repository,International,Global benchmark,3859,4,"cercospora_leaf_spot_gray_leaf_spot, common_rust, northern_leaf_blight, healthy",YES,"cercospora_leaf_spot_gray_leaf_spot, common_rust, northern_leaf_blight",None,None,RGB Photographic JPEG,Lab,CC0: Public Domain,YES,YES,YES,YES,"High resolution, verified fungal lesions",Moderate,YES,Matches major foliar diseases in Karnataka & Telangana maize belts.
DS_COFFEE_01,RoCoLe: A Robust Coffee Leaf Dataset,Coffee,Zenodo / Mendeley Data,https://zenodo.org/record/4005856,Peer-Reviewed Open Dataset,Colombia / Brazil,Tropical upland coffee belt (similar to Western Ghats),1560,5,"healthy, red_spider_mite, rust, iron_deficiency, cercospora",YES,"rust (Hemileia vastatrix), cercospora (brown eye spot)",red_spider_mite,iron_deficiency,Smartphone high resolution RGB,Field (In-the-wild coffee plantation),CC BY-SA 4.0,YES,YES,YES,YES,"Exceptional field lighting, hand-held annotations",Low,YES,Covers Coffee Rust (Hemileia vastatrix) - top danger to Kodagu & Chikmagalur estates.
DS_TEA_01,Tea Leaf Disease Identification Dataset,Tea,Zenodo / GitHub,https://zenodo.org/record/6346261,Academic Research Repository,India / China,Nilgiris & Munnar tea hills,885,6,"algal_leaf_spot, anthracnose, bird_eye_spot, brown_blight, healthy, red_leaf_spot",YES,"algal_leaf_spot, anthracnose, bird_eye_spot, brown_blight, red_leaf_spot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,Direct estate foliage captures,Low,YES,Contains Algal Leaf Spot (Cephaleuros virescens) and Blister/Blight.
DS_BANANA_01,Banana Leaf Fungal & Bacterial Disease Dataset,Banana,Mendeley Data / GitHub,https://data.mendeley.com/datasets/bvmzc436sh/1,Academic Open Repository,India / Uganda,Tamil Nadu (Theni/Trichy) & Karnataka,2850,5,"black_sigatoka, banana_bunchy_top, panama_wilt_fusarium, cordana_leaf_spot, healthy",YES,"black_sigatoka, banana_bunchy_top, panama_wilt_fusarium, cordana_leaf_spot",None,None,RGB Photographic JPEG,Field,CC BY 4.0,YES,YES,YES,YES,High resolution natural field lighting,Low,YES,Includes Panama Wilt (Fusarium oxysporum f. sp. cubense TR4) and Sigatoka.
