crop,pest_id,canonical_name,scientific_name,pest_order_family,damage_symptoms,life_stage,safe_control,verification_status
Tomato,tomato_fruit_borer,Tomato Fruit Borer,Helicoverpa armigera,Lepidopteran borer (Caterpillar),Larvae bore round circular holes into tomato fruits and feed while keeping anterior body inside and posterior outside; fruits rot and drop prematurely.,Larval instars (3rd to 5th),"Release egg parasitoid Trichogramma chilonis @ 50,000/ha; spray HaNPV (Helicoverpa nuclear polyhedrosis virus) @ 250 LE/ha with 1% jaggery.",VERIFIED
Paddy / Rice,brown_plant_hopper_(bph),Brown Plant Hopper (BPH),Nilaparvata lugens,Hemipteran sucking pest,"Nymphs and adults suck sap from tiller bases causing circular patches of dry, burnt crops called 'hopper burn'; transmits ragged stunt and grassy stunt viruses.",Nymphs and adults,Alternate wetting and drying (AWD) irrigation; drain field water for 3-4 days; conserve mirid bug Cyrtorhinus lividipennis.,VERIFIED
Paddy / Rice,yellow_stem_borer,Yellow Stem Borer,Scirpophaga incertulas,Lepidopteran borer,Larvae bore into stem and feed on inner tissue; causes 'dead hearts' (drying of central tiller) in vegetative stage and 'white ears' (chaffy erect white panicles) in reproductive stage.,Caterpillar (Larva),"Release Trichogramma japonicum @ 1,00,000/ha at weekly intervals starting 30 days after transplanting.",VERIFIED
Chilli,chilli_thrips,Chilli Thrips,Scirtothrips dorsalis,Thysanopteran sucking pest,Lacerate tender leaf tissues and suck oozing sap; leaves curl upwards into boat-shapes with roughened brown necrotic streaks on leaf undersides; causes 'murda' condition.,Nymphs and adults,Application of Lecanicillium lecanii (Verticillium lecanii) entomopathogenic fungus @ 5g/L.,VERIFIED
Cotton,pink_bollworm,Pink Bollworm,Pectinophora gossypiella,Lepidopteran borer,"Rosetted flowers that fail to open; entry holes in bolls heal over leaving no external sign, but larvae feed inside seeds, staining and destroying lint fiber; premature boll opening.",Larval instars,"Trichogrammatoidea bactrae release @ 1,50,000/ha; spray Beauveria bassiana @ 5g/L during early square stage.",VERIFIED
Sugarcane,early_shoot_borer,Early Shoot Borer,Chilo infuscatellus,Lepidopteran borer,Larva bores into base of young shoot just below soil level and feeds inside; central growing shoot dries up into an easily-pulled 'dead heart' emitting an offensive decaying smell.,Larva (Caterpillar),"Release Trichogramma chilonis @ 50,000/ha from 4th week of planting at 10-day intervals; spray Granulosis virus (ESB-GV) @ 1.5x10^8 IBS/ml.",VERIFIED
Coconut,rhinoceros_beetle,Rhinoceros Beetle,Oryctes rhinoceros,Coleopteran wood borer,"Adult beetle bores into crown heart and chews unopened fronds; when damaged fronds unfold, leaflets display distinctive V-shaped geometric notches or clipped shears appearance.",Adult beetle,Placement of 3 naphthalene balls (approx 10g) mixed with fine sand in uppermost 3 leaf axils around spindle; release Baculovirus oryctes infected beetles.,VERIFIED
Coconut,red_palm_weevil,Red Palm Weevil,Rhynchophorus ferrugineus,Coleopteran internal tissue borer,Small holes on trunk with thick brownish viscous fluid oozing out; extruded chewed coconut fibers from hole openings; gnawing crunching sounds audible inside trunk; central crown topples suddenly.,Grub (Larva),Entomopathogenic nematodes (Heterorhabditis indica) suspension injected into trunk holes.,VERIFIED
Maize / Corn,fall_armyworm_(faw),Fall Armyworm (FAW),Spodoptera frugiperda,Lepidopteran defoliator & borer,Young larvae scrape epidermal layer creating papery pinholes; older larvae feed inside leaf whorl causing heavy ragged windowing and leaving prominent piles of wet sawdust-like fecal frass; inverted Y mark on head.,Larval instars,"Release egg parasitoid Telenomus remus @ 1,25,000/ha or spray Bacillus thuringiensis var. kurstaki @ 2g/L or Metarhizium rileyi (Nomuraea rileyi) @ 3g/L.",VERIFIED
Wheat,wheat_aphids,Wheat Aphids,Rhopalosiphum padi & Sitobion avenae,Hemipteran sucking pest,"Colonies cluster on tender leaves and ears, sucking cell sap; honeydew secretion leads to black sooty mold; shriveled and poorly formed grain heads.",Nymphs and wingless adults,Spray 5% neem seed kernel extract (NSKE) or neem oil @ 3ml/L.,VERIFIED
Coffee,coffee_white_stem_borer,Coffee White Stem Borer,Xylotrechus quadripes,Coleopteran stem borer,"Grub tunnels inside hardwood causing characteristic external ridges/rings on trunk bark; leaves yellow, wilt and dry out; bearing branches snap easily; killed bushes.",Grub (Larva),Bark scraping of loose scaly bark on main stems before flight season to dislodge eggs; install cross-vane pheromone traps.,VERIFIED
Tea,tea_mosquito_bug,Tea Mosquito Bug,Helopeltis theivora,Hemipteran sucking bug (Miridae),Nymphs and adults insert stylets into tender leaves causing translucent water-soaked spots which turn dark reddish-brown; feeding spots coalesce into scorched crusts; shoot growth arrests completely.,Nymphs and adults,"Spray entomopathogenic fungus Beauveria bassiana @ 5g/L; application of neem formulation (Azadirachtin 10,000 ppm) @ 1ml/L.",VERIFIED
Rubber,scale_insects_and_mealybugs,Scale Insects and Mealybugs,Saissetia nigra & Planococcus citri,Hemipteran sap feeder,Suck plant sap from tender shoots causing yellowing and stunted growth; heavy excretion of honeydew promotes dense black sooty mold (Capnodium) covering foliage.,Nymphs and adult females,Spray fish oil rosin soap (FORS) @ 25g/L; release predatory ladybird beetles Cryptolaemus montrouzieri @ 5 beetles per plant.,VERIFIED
