dataset_id,dataset_name,source_platform,declared_license,license_verified,commercial_use_allowed,research_use_allowed,attribution_required,download_access_type,legal_compliance_notes
DS_COFFEE_01 (RoCoLe),RoCoLe Coffee Leaf Images,Mendeley Data,Creative Commons Attribution 4.0 International (CC BY 4.0),Yes,Yes,Yes,Yes (Cite Parraga-Alava et al. 2019),Direct Open Access (No login required),"Fully compliant for open-source AI training, commercial apps, and academic publishing with proper citation."
DS_COFFEE_02 (BRACOL),BRACOL Brazilian Arabica Coffee Leaf,Mendeley Data / GitHub,Creative Commons Attribution 4.0 International (CC BY 4.0),Yes,Yes,Yes,Yes (Cite Esgario et al. 2020),Direct Open Access,Fully compliant. GitHub repo also provides MIT licensed evaluation scripts.
DS_COFFEE_03 (Uganda Coffee),Uganda Coffee Leaf Disease Classification,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Sembatya et al. 2022),Direct Open Access,Compliant for both research and commercial model training.
DS_TEA_01 (Mendeley Tea),Mendeley Tea Leaf Disease Dataset (5.1K),Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Roy et al. 2021),Direct Open Access,Compliant. Avoid Kaggle mirrors that re-license under unverified tags; download from canonical Mendeley DOI.
DS_TEA_02 (Indian Tea),Preprocessed Image Dataset of Indian Tea Leaves,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Bhattacharya et al. 2022),Direct Open Access,Compliant. Contains background-segmented masks.
DS_RUBBER_01 (BDRubberLeaf),BDRubberLeaf Rubber Tree Diseases,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Hossain et al. 2023),Direct Open Access,"Fully verified. 4,066 images available under open science mandate."
DS_SUGAR_01 (Mendeley Sugarcane),Sugarcane Leaf Image Dataset (7.1K),Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Militante et al. 2022),Direct Open Access,Excellent legal clarity. Commercial deployment allowed with attribution.
DS_SUGAR_02 (Wardaruhin),Sugarcane Leaf Diseases (Kaggle),Kaggle,CC BY-SA 4.0,Yes,Yes (ShareAlike condition),Yes,Yes,Requires free Kaggle account / API key,ShareAlike requires derived models or modified datasets distributed to carry compatible license.
DS_COTTON_01 (SAR-CLD),SAR-CLD-2024 Cotton Leaf Disease,Mendeley Data,CC BY 4.0,Yes,Yes,Yes,Yes (Cite Soni et al. 2024),Direct Open Access,Fully verified open science dataset. Excellent for SIH.
DS_COTTON_02 (Janmejay Bhoi),Cotton Plant Disease Dataset,Kaggle,CC0: Public Domain,Yes,Yes (No restrictions),Yes,No (Public Domain dedication),Requires free Kaggle account / API key,Unrestricted public domain dataset. Safest license for commercial and mobile production.
DS_TOBACCO_01 (MCAD-DETR),MCAD-DETR Tobacco Leaf Disease,GitHub / Zenodo,MIT License / CC BY 4.0,Yes,Yes,Yes,Yes,Direct GitHub / Zenodo download,"MIT license provides full rights to train, commercialize, and redistribute."
