crop_id,crop_name,category,frontend_selector_available,dataset_status,local_onnx_model_available,online_ai_supported,offline_mode_ready
paddy,Paddy,cereal,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
maize,Maize,cereal,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
ragi,Ragi,cereal,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
sorghum,Sorghum,cereal,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
pearl_millet,Pearl Millet,cereal,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
foxtail_millet,Foxtail Millet,cereal,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
little_millet,Little Millet,cereal,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
kodo_millet,Kodo Millet,cereal,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
barnyard_millet,Barnyard Millet,cereal,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
proso_millet,Proso Millet,cereal,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
wheat,Wheat,cereal,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
red_gram,Red Gram,pulse,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
black_gram,Black Gram,pulse,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
green_gram,Green Gram,pulse,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
bengal_gram,Bengal Gram,pulse,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cowpea,Cowpea,pulse,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
field_bean,Field Bean,pulse,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
groundnut,Groundnut,oilseed,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
sesame,Sesame,oilseed,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
sunflower,Sunflower,oilseed,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
castor,Castor,oilseed,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
safflower,Safflower,oilseed,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
soybean,Soybean,oilseed,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cotton,Cotton,commercial,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
sugarcane,Sugarcane,commercial,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
tobacco,Tobacco,commercial,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
tomato,Tomato,vegetable,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
chilli,Chilli,vegetable,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
brinjal,Brinjal,vegetable,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
onion,Onion,vegetable,YES,NEEDS_MORE_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
okra,Okra,vegetable,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
potato,Potato,vegetable,YES,TRAINED_AND_EXPORTED,YES,YES (Gemini Flash Lite + n8n),YES (ONNX Runtime)
tapioca,Tapioca,vegetable,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
sweet_potato,Sweet Potato,vegetable,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
drumstick,Drumstick,vegetable,YES,NO_VERIFIED_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
cucumber,Cucumber,vegetable,YES,READY_FOR_TRAINING,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
pumpkin,Pumpkin,vegetable,YES,INSUFFICIENT_DATA,NO,YES (Gemini Flash Lite + n8n),NO (Dataset Required)
